"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,         126,       -2.94536048,      -325.6447226
          0,           0,         127,       -3.00804352,      -325.6424685
          0,           0,         128,      -2.952017517,      -325.6387212
          0,           0,         129,      -2.906900276,      -325.6341393
          0,           0,         130,      -2.930637564,      -325.6294709
          0,           0,         131,      -3.040978915,      -325.6254774
          0,           0,         132,      -3.204816815,      -325.6228942
          0,           0,         133,      -3.106907199,      -325.6222093
          0,           0,         134,      -2.894782659,      -325.6234229
          0,           0,         135,      -2.761335809,      -325.6262288
          0,           0,         136,      -2.696782105,      -325.6300877
          0,           0,         137,      -2.685532267,      -325.6337843
          0,           0,         138,      -2.726676046,      -325.6362061
          0,           0,         139,      -2.818048766,      -325.6370722
          0,           0,         140,      -2.952503318,      -325.6362396
          0,           0,         141,       -3.09968309,      -325.6338326
          0,           0,         142,      -3.202416667,      -325.6305182
          0,           0,         143,      -3.278904197,      -325.6271564
          0,           0,         144,      -3.379388945,      -325.6244729
          0,           0,         145,      -3.303663953,      -325.6228801
          0,           0,         146,      -3.072047128,      -325.6225976
          0,           0,         147,      -2.901067347,      -325.6236294
          0,           0,         148,      -2.799470075,      -325.6258932
          0,           0,         149,      -2.752372642,      -325.6286022
          0,           0,         150,       -2.74985347,      -325.6313766
          0,           0,         151,      -2.787959621,      -325.6338508
          0,           0,         152,       -2.86596622,      -325.6352404
          0,           0,         153,      -2.982855741,      -325.6351481
          0,           0,         154,       -3.12596402,      -325.6338575
          0,           0,         155,      -3.251505854,      -325.6318734
          0,           0,         156,      -3.334405307,      -325.6297483
          0,           0,         157,      -3.424198014,      -325.6280196
          0,           0,         158,      -3.485475807,      -325.6270619
          0,           0,         159,      -3.355386059,      -325.6270638
          0,           0,         160,      -3.184266325,      -325.6280281
          0,           0,         161,      -3.075027883,      -325.6297356
          0,           0,         162,      -3.029769367,       -325.631754
          0,           0,         163,      -3.043219456,      -325.6335508
          0,           0,         164,      -3.114169628,       -325.634771
          0,           0,         165,      -3.241266393,      -325.6351112
          0,           0,         166,      -3.393250635,      -325.6345999
          0,           0,         167,      -3.454989076,      -325.6335231
          0,           0,         168,      -3.423479727,      -325.6322137
          0,           0,         169,       -3.42394592,      -325.6309387
          0,           0,         170,      -3.501980661,      -325.6299709
          0,           0,         171,      -3.650565453,      -325.6295091
          0,           0,         172,       -3.68911797,      -325.6296827
          0,           0,         173,       -3.53217572,      -325.6304197
          0,           0,         174,      -3.415908355,      -325.6315021
          0,           0,         175,      -3.378625285,      -325.6325945
          0,           0,         176,      -3.413531108,      -325.6334072
          0,           0,         177,      -3.521978051,      -325.6337732
          0,           0,         178,      -3.679237523,      -325.6336367
          0,           0,         179,      -3.756397414,      -325.6330852
          0,           0,         180,       -3.69706036,      -325.6322929
          0,           0,         181,      -3.666311564,      -325.6314603
          0,           0,         182,      -3.724883366,      -325.6307649
          0,           0,         183,      -3.875053217,      -325.6303344
          0,           0,         184,      -3.917541214,      -325.6302395
          0,           0,         185,      -3.714416689,      -325.6304935
          0,           0,         186,      -3.556668821,      -325.6310234
          0,           0,         187,      -3.477463593,      -325.6316713
          0,           0,         188,      -3.457811648,      -325.6322501
          0,           0,         189,      -3.489761779,      -325.6326397
          0,           0,         190,       -3.56731773,      -325.6328148
          0,           0,         191,      -3.680627498,      -325.6327735
          0,           0,         192,      -3.812743745,      -325.6325623
          0,           0,         193,        -3.9388999,      -325.6322483
          0,           0,         194,      -4.045884455,      -325.6319304
          0,           0,         195,      -4.107011835,      -325.6317072
          0,           0,         196,      -4.036186384,      -325.6316418
          0,           0,         197,      -3.888443531,      -325.6317464
          0,           0,         198,       -3.76717651,      -325.6319875
          0,           0,         199,      -3.694972507,      -325.6323027
          0,           0,         200,      -3.669817979,      -325.6326254
          0,           0,         201,      -3.684843623,      -325.6328898
          0,           0,         202,      -3.735953568,      -325.6330542
          0,           0,         203,      -3.818847225,      -325.6331057
          0,           0,         204,      -3.924939857,      -325.6330479
          0,           0,         205,      -4.039266348,      -325.6328996
          0,           0,         206,      -4.143173125,      -325.6327199
          0,           0,         207,       -4.21100507,       -325.632566
          0,           0,         208,      -4.196263962,      -325.6324765
