"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      ,     "Buffet"     
          0,           0,           0,      -1.136073682,       1.322699573,        1.50350291,       4.379462842,      -4.297500994,                        10,      -2.012797284,              10,      -6.099188153,       14425.51611,     0.03462790038,      0.7262489764,                 0,                 0,                 0,     0.09059371345,     -0.0161170191,      0.7268953906,                 0,       20.97294287,                 4,     0.00493469076
          0,           0,           1,       -1.41236247,      0.9565561919,       1.273908829,       4.089017004,      -3.844398878,                        10,      -1.856199197,              10,      -6.450700716,       14425.51611,     0.03462789916,      0.7262489795,                 0,                 0,                 0,     0.09059371386,    -0.01611702054,      0.7268953936,                 0,        20.9729437,                 4,     0.00493469076
          0,           0,           2,      -1.607453598,      0.7695974156,       1.131451796,       3.894634517,      -3.626104889,                        10,      -1.807200877,               9,      -6.343786683,       14425.51611,     0.03462787257,      0.7262489927,                 0,                 0,                 0,     0.09059371465,    -0.01611704798,      0.7268954049,                 0,       20.97296019,                 4,     0.00493469076
          0,           0,           3,      -1.695091891,      0.7150818704,       1.093945218,       3.811771694,      -3.439170728,                        10,      -1.839300712,               8,      -6.227194658,       14425.51611,     0.03462776341,      0.7262491637,                 0,                 0,                 0,     0.09059370823,     -0.0161171688,      0.7268955679,                 0,       20.97303124,                 4,     0.00493469076
          0,           0,           4,       -1.73674559,      0.6786950816,       1.081274793,       3.765012512,      -3.302309897,                        10,      -1.865199675,               8,      -6.314380847,       14425.51611,     0.03462752343,      0.7262500761,                 0,                 0,                 0,     0.09059367254,    -0.01611747185,      0.7268964614,                 0,       20.97320294,                 4,     0.00493469076
          0,           0,           5,      -1.771404415,      0.6686594447,       1.054309285,       3.724716128,      -3.237822702,                        10,      -1.888063592,               8,      -6.332923058,       14425.51611,     0.03462715073,      0.7262531877,                 0,                 0,                 0,     0.09059358639,    -0.01611806068,      0.7268995393,                 0,       20.97351853,                 4,     0.00493469076
          0,           0,           6,      -1.809953287,      0.6759551488,       1.008928053,       3.687451712,      -3.214054051,                        10,        -1.9079883,               8,      -6.340399517,       14425.51611,     0.03462671631,      0.7262614897,                 0,                 0,                 0,     0.09059346866,    -0.01611907317,      0.7269077908,                 0,       20.97402142,                 4,     0.00493469076
          0,           0,           7,      -1.856881513,      0.6769330464,      0.9492965217,       3.649443625,       -3.21558195,                        10,      -1.919423083,               8,       -6.35750259,       14425.51611,     0.03462640399,      0.7262804992,                 0,                 0,                 0,     0.09059344856,    -0.01612071077,      0.7269267323,                 0,       20.97475959,                 4,     0.00493469076
          0,           0,           8,      -1.915153763,       0.661009754,      0.8810611682,       3.605082573,       -3.22876429,                        10,      -1.921041827,               8,      -6.382283546,       14425.51611,      0.0346265731,      0.7263195871,                 0,                 0,                 0,     0.09059388382,     -0.0161232687,      0.7269657367,                 0,         20.975786,                 4,     0.00493469076
          0,           0,           9,      -1.985279259,      0.6289123074,      0.8102984111,       3.550562893,      -3.244351795,                        10,      -1.915551945,               8,      -6.399034929,       14425.51611,      0.0346278297,      0.7263935678,                 0,                 0,                 0,     0.09059554007,     -0.0161271758,      0.7270396249,                 0,       20.97716127,                 4,     0.00493469076
          0,           0,          10,      -2.062492788,      0.5865635998,      0.7429758323,       3.486302101,       -3.25546488,                        10,      -1.906823413,               8,      -6.403014882,       14425.51611,     0.03463109773,      0.7265244721,                 0,                 0,                 0,     0.09059983531,    -0.01613304714,      0.7271704383,                 0,       20.97896167,                 4,     0.00493469076
          0,           0,          11,      -2.132851454,      0.5419612226,      0.6837299055,       3.418918453,      -3.261135978,                        10,      -1.900455667,               8,       -6.39603729,       14425.51611,     0.03463768276,      0.7267431445,                 0,                 0,                 0,     0.09060914284,    -0.01614173197,      0.7273890373,                 0,       20.98128647,                 4,     0.00493469076
          0,           0,          12,      -2.175492485,      0.5026494845,      0.6346322639,       3.362167462,      -3.261153957,                        10,      -1.890945141,               8,      -6.392717462,       14425.51611,     0.03464927863,      0.7270890722,                 0,                 0,                 0,     0.09062708481,    -0.01615429505,      0.7277349312,                 0,       20.98424848,                 4,     0.00493469076
          0,           0,          13,      -2.181723845,      0.4728839244,      0.5952246375,         3.3305084,      -3.257109891,                        10,      -1.879333226,               8,      -6.392351062,       14425.51611,     0.03466792772,      0.7276100701,                 0,                 0,                 0,     0.09065877301,    -0.01617203436,       0.728255961,                 0,       20.98798855,                 4,     0.00493469076
          0,           0,          14,      -2.166437877,      0.4524249992,        0.56382278,       3.325290782,      -3.250800787,                        10,      -1.883241726,               8,      -6.374377946,       14425.51611,     0.03469611145,      0.7283642429,                 0,                 0,                 0,     0.09071109886,    -0.01619652772,      0.7290102626,                 0,       20.99267648,                 4,     0.00493469076
          0,           0,          15,      -2.149580222,      0.4381725328,      0.5387579731,        3.33370536,      -3.243355556,                        10,      -1.903355838,               8,       -6.33360384,       14425.51611,     0.03473686774,      0.7294206598,                 0,                 0,                 0,     0.09079302028,    -0.01622956263,      0.7300669492,                 0,       20.99845804,                 4,     0.00493469076
          0,           0,          16,      -2.142078954,      0.4266918446,      0.5186952679,       3.342160845,       -3.23553421,                        10,      -1.927470327,               8,      -6.279242984,       14425.51611,     0.03479373457,      0.7308580185,                 0,                 0,                 0,     0.09091574319,     -0.0162730994,      0.7315047733,                 0,       21.00544904,                 4,     0.00493469076
          0,           0,          17,      -2.147118529,      0.4156031782,      0.5023262181,       3.343360025,       -3.22801883,                        10,      -1.946761274,               8,      -6.215006114,       14425.51611,     0.03487058144,      0.7327621835,                 0,                 0,                 0,     0.09109271492,    -0.01632926756,      0.7334096604,                 0,       21.01376442,                 4,     0.00493469076
          0,           0,          18,      -2.163983054,      0.4037297213,       0.488089706,       3.335176565,      -3.220773775,                        10,      -1.957434623,               8,      -6.142518122,       14425.51611,     0.03497141113,      0.7352229159,                 0,                 0,                 0,      0.0913394017,     -0.0164003355,      0.7358714321,                 0,       21.02354158,                 4,     0.00493469076
          0,           0,          19,      -2.190110744,      0.3907384964,      0.4742130592,       3.318177339,      -3.213820483,                        10,       -1.95722516,               8,        -6.0781228,       14425.51611,     0.03510014161,      0.7383297528,                 0,                 0,                 0,     0.09167284948,    -0.01648864059,      0.7389796807,                 0,       21.03495083,                 4,     0.00493469076
          0,           0,          20,      -2.221969295,      0.3767741066,      0.4589603891,       3.294065267,      -3.207321385,                        10,      -1.944844542,               8,      -6.017079958,       14425.51611,     0.03526037561,      0.7421674398,                 0,                 0,                 0,     0.09211105344,    -0.01659650042,      0.7428191967,                 0,       21.04820005,                 4,     0.00493469076
          0,           0,          21,      -2.255656584,      0.3622243446,      0.4408687554,       3.264849037,      -3.201817895,                        10,       -1.92173474,               9,      -6.483949847,       14425.51611,     0.03545519887,      0.7468118815,                 0,                 0,                 0,     0.09267222002,    -0.01672613161,       0.747465915,                 0,       21.06353667,                 4,     0.00493469076
          0,           0,          22,      -2.287675345,      0.3475738358,      0.4188666752,       3.232370253,      -3.197977755,                        10,      -1.892439747,               9,      -6.428183109,       14425.51611,     0.03568700718,      0.7523267757,                 0,                 0,                 0,     0.09337396661,    -0.01687958755,      0.7529835452,                 0,       21.08125155,                 4,     0.00493469076
          0,           0,          23,      -2.315822223,      0.3333072834,      0.3922909066,       3.198034464,      -3.196609526,                        10,      -1.861498072,               9,      -6.373430478,       14425.51611,     0.03595732171,      0.7587592958,                 0,                 0,                 0,     0.09423233265,    -0.01705864141,      0.7594192523,                 0,        21.1016633,                 4,     0.00493469076
          0,           0,          24,      -2.339675856,      0.3198340781,       0.360855141,       3.162744201,      -3.198166069,                        10,      -1.832728084,               9,       -6.32048607,       14425.51611,     0.03626673664,      0.7661369391,                 0,                 0,                 0,     0.09526077562,    -0.01726461859,      0.7668005077,                 0,       21.12505867,                 4,     0.00493469076
          0,           0,          25,      -2.360246179,      0.3074268248,      0.3246193431,       3.127070101,      -3.201849238,                        10,      -1.810677624,               9,      -6.272003552,       14425.51611,     0.03661515239,      0.7744706906,                 0,                 0,                 0,     0.09646977711,    -0.01749838467,      0.7751382628,                 0,       21.15164461,                 4,     0.00493469076
          0,           0,          26,       -2.37905202,      0.2961908227,      0.2840011961,       3.091592397,      -3.207008938,                        10,      -1.798390069,               9,      -6.220487118,       14425.51611,     0.03700191845,      0.7837601241,                 0,                 0,                 0,     0.09786681506,    -0.01776055888,      0.7844320472,                 0,       21.18160779,                 4,     0.00493469076
