"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,          49,              0.24,      -7.234230477,      -4.553527656,      -4.669564114,      -1.820564732,     0.06088926657,       25.88498413,     -0.9112239128,                 0,                 0,                 0,      0.1999240027,       25.88498413,     -0.9112239128,                 0,    -0.03520279975,      0.1616569688,     -0.9824302794,     -0.7300759346,     -0.7688046553,      -1.026807927,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          49,              0.26,      -7.137195362,      -4.616982912,      -4.748277003,       -1.68152114,     0.06088926657,       20.87630169,      -0.668694345,                 0,                 0,                 0,      0.1420115388,       20.87630169,      -0.668694345,                 0,    -0.03203126469,      0.1546957659,     -0.9217808375,     -0.8374912775,     -0.8944099384,     -0.9242245145,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,          49,              0.28,      -6.902512643,      -4.859506008,      -5.040426331,      -1.437909504,     0.06088926657,       11.42796293,    -0.07629854322,                 0,                 0,                 0,   0.0008377010835,       11.42796293,    -0.07629854322,                 0,   -0.006676478014,      0.1467781627,     -0.7331148434,      -1.119107248,      -1.229642537,      -0.727099153,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,          49,               0.3,      -6.861175805,      -5.103645769,      -5.301508301,      -1.399939497,     0.06088926657,       1.488814232,      0.4504310203,                 0,                 0,                 0,     -0.1242979357,       1.488814232,      0.4504310203,                 0,      0.3025434675,      0.1498714819,     -0.7379420788,      -1.399975544,      -1.530940221,     -0.7357080074,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,          49,              0.32,      -6.958286233,      -4.864771487,      -4.910118326,      -1.504437624,     0.06088926657,      -5.897517381,      0.8974092915,                 0,                 0,                 0,     -0.2312518204,      -5.897517381,      0.8974092915,                 0,     -0.1521672991,      0.1498714819,     -0.8732545812,      -1.195815567,       -1.17668885,     -0.8785716096,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,          49,              0.34,      -7.206919484,      -4.760157699,        -4.7717498,      -1.774784631,     0.06088926657,      -9.177727012,       1.218720823,                 0,                 0,                 0,     -0.3084839973,      -9.177727012,       1.218720823,                 0,      -0.132791139,      0.1498714819,      -1.151902623,      -1.121138447,      -1.071482335,      -1.178985498,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,          49,              0.36,      -7.333861902,        -4.7912032,      -4.785426047,      -1.895282825,     0.06088926657,      -8.087486402,        1.19115785,                 0,                 0,                 0,     -0.3009399808,      -8.087486402,        1.19115785,                 0,     -0.1472840622,      0.1498714819,      -1.305363392,      -1.177440622,      -1.115920916,      -1.326031026,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,          49,              0.38,      -7.105653607,      -4.951094877,       -4.96217551,      -1.643502445,     0.06088926657,       -3.61266225,      0.7923753718,                 0,                 0,                 0,     -0.2029713788,       -3.61266225,      0.7923753718,                 0,     -0.2193328124,      0.1498714819,      -1.105648007,      -1.363229987,      -1.324568469,      -1.102809299,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,          49,               0.4,      -7.021768766,      -5.176420954,      -5.344758792,      -1.560750919,     0.06088926657,       2.204957453,       0.272222868,                 0,                 0,                 0,    -0.07605812344,       2.204957453,       0.272222868,                 0,      0.1234594653,      0.1622787305,       -1.05285545,      -1.618842218,      -1.740212484,      -1.051280036,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,          49,              0.42,      -7.071139849,      -5.073067976,       -5.14483984,      -1.613776317,     0.06088926657,       7.228160793,     -0.1616478773,                 0,                 0,                 0,      0.0292827322,       7.228160793,     -0.1616478773,                 0,    -0.02236362499,      0.1692399335,      -1.128485908,      -1.542701336,      -1.566597773,      -1.130691173,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,          49,              0.44,       -7.24683512,      -4.949011601,      -4.956824998,       -1.79763417,     0.06088926657,       10.00369715,     -0.5243122985,                 0,                 0,                 0,      0.1172572273,       10.00369715,     -0.5243122985,                 0,     -0.0524118524,      0.1616569688,      -1.315838889,      -1.428657012,      -1.387532742,      -1.326255176,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,          49,              0.46,      -7.449747359,      -4.947874207,      -4.940141817,      -2.009026127,     0.06088926657,       9.965931334,      -0.672675819,                 0,                 0,                 0,      0.1527015311,       9.965931334,      -0.672675819,                 0,      -0.067497537,      0.1641285264,      -1.514229081,      -1.415857875,      -1.361829549,      -1.533198257,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,          49,              0.48,      -7.322914859,      -5.056888648,      -5.065293853,      -1.863132382,     0.06088926657,       7.564975236,     -0.5295676118,                 0,                 0,                 0,        0.11682846,       7.564975236,     -0.5295676118,                 0,    -0.07000255721,      0.1571673235,      -1.380132802,      -1.509893987,      -1.479181123,      -1.380439549,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
