"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.259020327,      -9.942532427,      -10.72642692,       3.400742995,      -2.130442963,       207023.5063,      0.2074908751,     0.06029404261,                 0,                 0,                 0,  -0.0009682474762,      0.2064069971,     0.06390607462,                 0,       0.290586478,   3.306685845e-05
          0,           0,           1,      -2.908000796,       0.843035587,      0.8667673486,       3.291195029,      -2.738284909,       207023.5063,      0.1773554238,     0.04751982404,                 0,                 0,                 0,  -0.0008438238126,      0.1764990764,     0.05060786549,                 0,      0.2679355558,   3.306685845e-05
          0,           0,           2,       -2.37034918,      0.7688216197,      0.4523181876,        3.45508135,      -3.334834355,       207023.5063,      0.1182791098,      0.0385005967,                 0,                 0,                 0,  -0.0007043232122,      0.1175891672,     0.04055898797,                 0,      0.3255063111,   3.306685845e-05
          0,           0,           3,      -2.618272318,      0.4320189596,     -0.1496300213,       3.130126779,      -3.948755254,       207023.5063,     0.09674460706,     0.03950141531,                 0,                 0,                 0,  -0.0006941615915,     0.09604047763,     0.04118382525,                 0,      0.4083061217,   3.306685845e-05
          0,           0,           4,      -2.654063123,      0.3379717834,     -0.3000904962,       3.034916835,      -4.532499297,       207023.5063,     0.08119528477,     0.04073188463,                 0,                 0,                 0,  -0.0006203193516,     0.08047204893,     0.04214273408,                 0,      0.5016533256,   3.306685845e-05
          0,           0,           5,      -2.711968403,        0.22247916,     -0.2360436623,       2.952678181,      -5.099028461,       207023.5063,     0.06907172697,     0.04149679425,                 0,                 0,                 0,  -0.0005841811832,     0.06833698809,     0.04269594194,                 0,      0.6007782934,   3.306685845e-05
          0,           0,           6,      -2.733871159,      0.1169971512,     -0.2110575581,       2.923937676,      -5.640795687,       207023.5063,     0.05925871725,      0.0415972873,                 0,                 0,                 0,  -0.0006609562649,     0.05852371909,     0.04262515905,                 0,      0.7019606437,   3.306685845e-05
          0,           0,           7,      -2.729080456,     0.06393482226,      -0.211799342,       2.928563341,      -6.199145018,       207023.5063,      0.0554892097,       0.041390727,                 0,                 0,                 0,  -0.0007040845278,     0.05475839064,     0.04235284323,                 0,      0.7459238872,   3.306685845e-05
          0,           0,           8,      -2.737013713,     0.05231483125,     -0.2150025133,       2.920091795,      -6.745446737,       207023.5063,     0.05118773887,     0.04104789658,                 0,                 0,                 0,  -0.0007643714146,     0.05046355815,     0.04193499401,                 0,      0.8019087673,   3.306685845e-05
          0,           0,           9,      -2.737931914,      0.0448496038,     -0.2065267034,       2.917830905,      -7.074756909,       207023.5063,     0.04656475769,      0.0407282009,                 0,                 0,                 0,  -0.0008195987663,     0.04584686054,     0.04153466488,                 0,      0.8746572069,   3.306685845e-05
          0,           0,          10,      -2.727285807,      0.0426966827,     -0.1908133043,       2.926049214,      -7.088070463,       207023.5063,     0.04185547983,     0.04052497187,                 0,                 0,                 0,  -0.0008619224089,     0.04114184676,     0.04124927857,                 0,      0.9682118574,   3.306685845e-05
          0,           0,          11,      -2.709495165,     0.04583474928,     -0.1771378697,       2.941909785,      -7.030410107,       207023.5063,     0.03747853619,     0.04049649877,                 0,                 0,                 0,  -0.0009278531869,     0.03676606667,      0.0411444216,                 0,       1.080525092,   3.306685845e-05
          0,           0,          12,      -2.688707068,     0.05376655668,     -0.1689233487,       2.962727561,      -7.074534336,       207023.5063,      0.0357642623,     0.04049943085,                 0,                 0,                 0,  -0.0009406025694,     0.03505200271,     0.04111743503,                 0,       1.132399447,   3.306685845e-05
          0,           0,          13,      -2.687330179,     0.05302702938,     -0.1647068309,       2.963541603,      -7.040669126,       207023.5063,     0.03368619331,     0.04047255449,                 0,                 0,                 0,   -0.000954679923,     0.03297471927,     0.04105429546,                 0,       1.201458239,   3.306685845e-05
          0,           0,          14,      -2.682251469,     0.05463438664,     -0.1555642138,       2.966384829,      -6.987276246,       207023.5063,     0.03133662178,     0.04047974057,                 0,                 0,                 0,   -0.000981506852,     0.03062538017,     0.04102047477,                 0,       1.291771042,   3.306685845e-05
          0,           0,          15,      -2.668703246,     0.06331377793,     -0.1443918604,       2.977246178,      -6.907828295,       207023.5063,     0.02883613765,     0.04054874715,                 0,                 0,                 0,    -0.00105153418,     0.02812407255,     0.04104583137,                 0,       1.406178166,   3.306685845e-05
          0,           0,          16,       -2.64571089,     0.08092582492,     -0.1356965114,        3.00072604,       -6.82863218,       207023.5063,      0.0265872834,     0.04061011718,                 0,                 0,                 0,   -0.001169139475,     0.02587448975,     0.04106794413,                 0,       1.527426348,   3.306685845e-05
          0,           0,          17,      -2.623128306,      0.1005998335,     -0.1282211929,       3.027829359,      -6.833137962,       207023.5063,     0.02579859997,     0.04064101894,                 0,                 0,                 0,   -0.001178620162,     0.02508538714,     0.04108507677,                 0,       1.575318776,   3.306685845e-05
          0,           0,          18,      -2.623642236,     0.09918428477,     -0.1249839738,       3.026492242,      -6.799371781,       207023.5063,     0.02478887846,      0.0406352553,                 0,                 0,                 0,   -0.001198917876,        0.02407592,     0.04106169194,                 0,       1.639253481,   3.306685845e-05
          0,           0,          19,      -2.622094437,     0.09919257356,     -0.1162819191,       3.024672507,      -6.743035485,       207023.5063,     0.02357964816,     0.04063860829,                 0,                 0,                 0,   -0.001245983226,     0.02286681536,     0.04104394043,                 0,       1.723461182,   3.306685845e-05
          0,           0,          20,      -2.609726824,      0.1106760806,     -0.1074091591,       3.032978651,      -6.660493829,       207023.5063,     0.02223044998,     0.04068347941,                 0,                 0,                 0,   -0.001362065909,     0.02151703956,     0.04106525796,                 0,       1.830078988,   3.306685845e-05
          0,           0,          21,      -2.588507896,      0.1350609377,     -0.1034639951,       3.057474516,      -6.590577199,       207023.5063,     0.02106841882,     0.04072479893,                 0,                 0,                 0,   -0.001491951024,     0.02035446425,     0.04108629095,                 0,        1.93297842,   3.306685845e-05
          0,           0,          22,      -2.575347567,       0.153701866,    -0.09960127147,       3.076973197,      -6.519871277,       207023.5063,     0.02005881691,     0.04074155981,                 0,                 0,                 0,   -0.001632840087,     0.01934472359,      0.0410854293,                 0,       2.031104825,   3.306685845e-05
          0,           0,          23,       -2.56557619,      0.1696222238,    -0.09400601388,       3.091741812,      -6.454573048,       207023.5063,      0.0191776666,     0.04074992991,                 0,                 0,                 0,   -0.001780366141,     0.01846356141,     0.04107841993,                 0,        2.12486382,   3.306685845e-05
