"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.93522,2.0142e+05,0.065907,21.393,0,0,80469,-1.1751,299.74,22.874,0,0,1,10.517,7.517,0,0
0.93524,2.0142e+05,0.065742,21.34,0,0,80470,-1.175,299.74,22.817,0,0,1,10.53,7.53,0,0
0.93525,2.0142e+05,0.065578,21.287,0,0,80472,-1.1749,299.74,22.76,0,0,1,10.543,7.543,0,0
0.93526,2.0142e+05,0.065403,21.23,0,0,80473,-1.1748,299.74,22.7,0,0,1,10.556,7.556,0,0
0.93527,2.0143e+05,0.065216,21.17,0,0,80474,-1.1748,299.74,22.635,0,0,1,10.569,7.569,0,0
0.93528,2.0143e+05,0.06503,21.11,0,0,80476,-1.1747,299.75,22.57,0,0,1,10.582,7.582,0,0
0.93529,2.0143e+05,0.064843,21.049,0,0,80477,-1.1746,299.75,22.506,0,0,1,10.595,7.595,0,0
0.9353,2.0143e+05,0.064667,20.992,0,0,80478,-1.1746,299.75,22.445,0,0,1,10.608,7.608,0,0
0.93531,2.0143e+05,0.064498,20.938,0,0,80479,-1.1745,299.75,22.386,0,0,1,10.621,7.621,0,0
0.93531,2.0143e+05,0.064329,20.883,0,0,80480,-1.1745,299.75,22.327,0,0,1,10.634,7.634,0,0
0.93532,2.0143e+05,0.06416,20.828,0,0,80481,-1.1744,299.75,22.269,0,0,1,10.647,7.647,0,0
0.93533,2.0144e+05,0.064011,20.78,0,0,80482,-1.1743,299.75,22.217,0,0,1,10.66,7.66,0,0
0.93535,2.0144e+05,0.063868,20.734,0,0,80484,-1.1742,299.75,22.167,0,0,1,10.673,7.673,0,0
0.93537,2.0144e+05,0.063725,20.689,0,0,80486,-1.1741,299.76,22.118,0,0,1,10.686,7.686,0,0
0.93539,2.0145e+05,0.063583,20.643,0,0,80488,-1.174,299.76,22.069,0,0,1,10.699,7.699,0,0
0.93539,2.0145e+05,0.063398,20.583,0,0,80488,-1.174,299.76,22.005,0,0,1,10.712,7.712,0,0
0.93538,2.0145e+05,0.063211,20.522,0,0,80488,-1.174,299.76,21.939,0,0,1,10.725,7.725,0,0
0.93538,2.0144e+05,0.063023,20.461,0,0,80488,-1.174,299.76,21.874,0,0,1,10.738,7.738,0,0
0.93537,2.0144e+05,0.062839,20.401,0,0,80488,-1.174,299.76,21.811,0,0,1,10.751,7.751,0,0
0.93539,2.0145e+05,0.0627,20.356,0,0,80490,-1.1739,299.76,21.762,0,0,1,10.764,7.764,0,0
0.93541,2.0145e+05,0.06256,20.311,0,0,80492,-1.1738,299.77,21.714,0,0,1,10.777,7.777,0,0
0.93543,2.0145e+05,0.062421,20.267,0,0,80494,-1.1737,299.77,21.666,0,0,1,10.79,7.79,0,0
0.93544,2.0146e+05,0.062288,20.224,0,0,80495,-1.1736,299.77,21.619,0,0,1,10.803,7.803,0,0
0.93543,2.0145e+05,0.062174,20.187,0,0,80495,-1.1736,299.77,21.58,0,0,1,10.816,7.816,0,0
0.93542,2.0145e+05,0.062061,20.15,0,0,80494,-1.1737,299.77,21.541,0,0,1,10.829,7.829,0,0
0.93541,2.0145e+05,0.061947,20.113,0,0,80494,-1.1737,299.77,21.501,0,0,1,10.842,7.842,0,0
0.93542,2.0145e+05,0.061822,20.072,0,0,80494,-1.1736,299.77,21.458,0,0,1,10.855,7.855,0,0
0.93544,2.0146e+05,0.061679,20.026,0,0,80496,-1.1735,299.77,21.408,0,0,1,10.868,7.868,0,0
0.93546,2.0146e+05,0.061536,19.98,0,0,80498,-1.1734,299.77,21.359,0,0,1,10.881,7.881,0,0
0.93548,2.0146e+05,0.061393,19.934,0,0,80501,-1.1733,299.77,21.309,0,0,1,10.894,7.894,0,0
