"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3644,3.5004e+05,2.1446,733.26,0,0,61203,-2.2618,156.26,537.43,0,0,1,5.252,2.252,0,0
1.3561,3.4807e+05,2.15,729.78,0,0,60683,-2.2912,155.88,538.14,0,0,1,5.265,2.265,0,0
1.3481,3.4615e+05,2.1554,726.37,0,0,60180,-2.3196,155.51,538.84,0,0,1,5.278,2.278,0,0
1.34,3.4422e+05,2.1608,722.97,0,0,59677,-2.3479,155.14,539.53,0,0,1,5.291,2.291,0,0
1.3321,3.4232e+05,2.1661,719.6,0,0,59183,-2.3758,154.77,540.21,0,0,1,5.304,2.304,0,0
1.3242,3.4045e+05,2.1714,716.26,0,0,58697,-2.4032,154.41,540.89,0,0,1,5.317,2.317,0,0
1.3164,3.3858e+05,2.1766,712.93,0,0,58211,-2.4306,154.04,541.57,0,0,1,5.33,2.33,0,0
1.3088,3.3676e+05,2.1818,709.67,0,0,57741,-2.4571,153.68,542.23,0,0,1,5.343,2.343,0,0
1.3012,3.3493e+05,2.1871,706.41,0,0,57272,-2.4836,153.33,542.89,0,0,1,5.356,2.356,0,0
1.2937,3.3313e+05,2.1922,703.19,0,0,56810,-2.5096,152.97,543.55,0,0,1,5.369,2.369,0,0
1.2863,3.3136e+05,2.1974,700.01,0,0,56357,-2.5352,152.62,544.2,0,0,1,5.382,2.382,0,0
1.2789,3.2959e+05,2.2025,696.82,0,0,55904,-2.5608,152.27,544.84,0,0,1,5.395,2.395,0,0
1.2718,3.2786e+05,2.2075,693.71,0,0,55466,-2.5855,151.93,545.48,0,0,1,5.408,2.408,0,0
1.2646,3.2614e+05,2.2126,690.6,0,0,55028,-2.6102,151.59,546.11,0,0,1,5.421,2.421,0,0
1.2575,3.2444e+05,2.2176,687.52,0,0,54598,-2.6344,151.25,546.73,0,0,1,5.434,2.434,0,0
1.2506,3.2276e+05,2.2226,684.49,0,0,54175,-2.6583,150.91,547.35,0,0,1,5.447,2.447,0,0
1.2436,3.2109e+05,2.2276,681.45,0,0,53753,-2.6821,150.57,547.97,0,0,1,5.46,2.46,0,0
1.2368,3.1946e+05,2.2324,678.49,0,0,53345,-2.7051,150.25,548.57,0,0,1,5.473,2.473,0,0
1.2301,3.1783e+05,2.2373,675.52,0,0,52938,-2.7281,149.92,549.17,0,0,1,5.486,2.486,0,0
1.2234,3.1623e+05,2.2422,672.6,0,0,52538,-2.7507,149.59,549.76,0,0,1,5.499,2.499,0,0
1.2169,3.1465e+05,2.247,669.72,0,0,52145,-2.7728,149.27,550.35,0,0,1,5.512,2.512,0,0
1.2104,3.1307e+05,2.2518,666.83,0,0,51752,-2.795,148.95,550.93,0,0,1,5.525,2.525,0,0
1.204,3.1154e+05,2.2565,664.02,0,0,51375,-2.8163,148.64,551.5,0,0,1,5.538,2.538,0,0
1.1977,3.1001e+05,2.2612,661.22,0,0,50997,-2.8376,148.33,552.07,0,0,1,5.551,2.551,0,0
1.1915,3.0851e+05,2.2659,658.45,0,0,50626,-2.8585,148.02,552.63,0,0,1,5.564,2.564,0,0
1.1854,3.0703e+05,2.2705,655.73,0,0,50263,-2.879,147.71,553.19,0,0,1,5.577,2.577,0,0
1.1793,3.0555e+05,2.2751,653.01,0,0,49900,-2.8994,147.41,553.74,0,0,1,5.59,2.59,0,0
1.1734,3.0412e+05,2.2796,650.37,0,0,49552,-2.9191,147.11,554.28,0,0,1,5.603,2.603,0,0
1.1675,3.027e+05,2.2841,647.73,0,0,49204,-2.9387,146.82,554.81,0,0,1,5.616,2.616,0,0
1.1617,3.013e+05,2.2885,645.15,0,0,48864,-2.9579,146.53,555.34,0,0,1,5.629,2.629,0,0
1.1561,2.9993e+05,2.2929,642.6,0,0,48532,-2.9766,146.24,555.86,0,0,1,5.642,2.642,0,0
1.1504,2.9855e+05,2.2973,640.06,0,0,48199,-2.9954,145.95,556.37,0,0,1,5.655,2.655,0,0
1.145,2.9724e+05,2.3015,637.62,0,0,47883,-3.0132,145.68,556.87,0,0,1,5.668,2.668,0,0
1.1396,2.9593e+05,2.3057,635.18,0,0,47568,-3.031,145.4,557.37,0,0,1,5.681,2.681,0,0
1.1344,2.9466e+05,2.3098,632.81,0,0,47261,-3.0483,145.14,557.85,0,0,1,5.694,2.694,0,0
1.1293,2.9341e+05,2.3139,630.49,0,0,46963,-3.0651,144.87,558.32,0,0,1,5.707,2.707,0,0
1.1241,2.9217e+05,2.3179,628.17,0,0,46665,-3.0819,144.61,558.79,0,0,1,5.72,2.72,0,0
1.1194,2.9101e+05,2.3218,625.99,0,0,46387,-3.0976,144.36,559.24,0,0,1,5.733,2.733,0,0
1.1146,2.8984e+05,2.3256,623.8,0,0,46110,-3.1133,144.12,559.68,0,0,1,5.746,2.746,0,0
1.11,2.8872e+05,2.3293,621.71,0,0,45844,-3.1283,143.88,560.11,0,0,1,5.759,2.759,0,0
1.1056,2.8765e+05,2.3329,619.69,0,0,45589,-3.1426,143.65,560.52,0,0,1,5.772,2.772,0,0
1.1012,2.8657e+05,2.3365,617.68,0,0,45335,-3.157,143.42,560.93,0,0,1,5.785,2.785,0,0
1.0972,2.8561e+05,2.3397,615.87,0,0,45107,-3.1698,143.21,561.3,0,0,1,5.798,2.798,0,0
1.0933,2.8465e+05,2.3429,614.06,0,0,44880,-3.1826,143.01,561.67,0,0,1,5.811,2.811,0,0
1.0896,2.8375e+05,2.3459,612.37,0,0,44669,-3.1945,142.81,562.02,0,0,1,5.824,2.824,0,0
1.0862,2.8292e+05,2.3487,610.8,0,0,44474,-3.2056,142.63,562.34,0,0,1,5.837,2.837,0,0
1.0828,2.8209e+05,2.3516,609.24,0,0,44278,-3.2166,142.46,562.66,0,0,1,5.85,2.85,0,0
1.08,2.8142e+05,2.3539,607.97,0,0,44121,-3.2255,142.31,562.92,0,0,1,5.863,2.863,0,0
1.0773,2.8075e+05,2.3561,606.7,0,0,43963,-3.2344,142.16,563.18,0,0,1,5.876,2.876,0,0
1.0749,2.8016e+05,2.3581,605.59,0,0,43826,-3.2421,142.04,563.4,0,0,1,5.889,2.889,0,0
1.0729,2.7967e+05,2.3598,604.66,0,0,43711,-3.2486,141.93,563.59,0,0,1,5.902,2.902,0,0
1.0708,2.7917e+05,2.3615,603.73,0,0,43595,-3.2551,141.82,563.78,0,0,1,5.915,2.915,0,0
1.0696,2.7888e+05,2.3625,603.16,0,0,43526,-3.259,141.76,563.9,0,0,1,5.928,2.928,0,0
1.0684,2.7858e+05,2.3636,602.6,0,0,43457,-3.2629,141.69,564.01,0,0,1,5.941,2.941,0,0
1.0676,2.7839e+05,2.3642,602.23,0,0,43412,-3.2655,141.65,564.09,0,0,1,5.954,2.954,0,0
1.0672,2.7829e+05,2.3646,602.06,0,0,43390,-3.2667,141.63,564.13,0,0,1,5.967,2.967,0,0
1.0669,2.782e+05,2.3649,601.88,0,0,43368,-3.2679,141.61,564.16,0,0,1,5.98,2.98,0,0
1.0673,2.783e+05,2.3645,602.08,0,0,43392,-3.2665,141.63,564.12,0,0,1,5.993,2.993,0,0
1.0677,2.7841e+05,2.3642,602.28,0,0,43417,-3.2652,141.66,564.08,0,0,1,6.006,3.006,0,0
1.0685,2.786e+05,2.3635,602.64,0,0,43461,-3.2627,141.7,564.01,0,0,1,6.019,3.019,0,0
1.0696,2.7888e+05,2.3626,603.17,0,0,43526,-3.259,141.76,563.9,0,0,1,6.032,3.032,0,0
1.0708,2.7916e+05,2.3616,603.7,0,0,43592,-3.2553,141.82,563.79,0,0,1,6.045,3.045,0,0
1.0725,2.7958e+05,2.3602,604.5,0,0,43690,-3.2497,141.91,563.63,0,0,1,6.058,3.058,0,0
1.0743,2.8001e+05,2.3587,605.31,0,0,43789,-3.2441,142,563.47,0,0,1,6.071,3.071,0,0
1.0762,2.8049e+05,2.3571,606.21,0,0,43901,-3.2379,142.1,563.28,0,0,1,6.084,3.084,0,0
1.0784,2.8101e+05,2.3553,607.21,0,0,44025,-3.2309,142.22,563.08,0,0,1,6.097,3.097,0,0
1.0805,2.8154e+05,2.3535,608.21,0,0,44148,-3.2239,142.33,562.88,0,0,1,6.11,3.11,0,0
1.083,2.8214e+05,2.3515,609.34,0,0,44289,-3.216,142.46,562.65,0,0,1,6.123,3.123,0,0
1.0854,2.8274e+05,2.3494,610.47,0,0,44429,-3.2081,142.59,562.42,0,0,1,6.136,3.136,0,0
1.088,2.8336e+05,2.3474,611.63,0,0,44574,-3.1999,142.72,562.18,0,0,1,6.149,3.149,0,0
1.0906,2.8399e+05,2.3452,612.83,0,0,44723,-3.1915,142.86,561.93,0,0,1,6.162,3.162,0,0
1.0932,2.8463e+05,2.3431,614.03,0,0,44873,-3.183,143,561.69,0,0,1,6.175,3.175,0,0
1.0958,2.8527e+05,2.3409,615.24,0,0,45025,-3.1744,143.13,561.44,0,0,1,6.188,3.188,0,0
1.0985,2.8592e+05,2.3387,616.46,0,0,45178,-3.1658,143.27,561.19,0,0,1,6.201,3.201,0,0
1.1011,2.8656e+05,2.3366,617.67,0,0,45330,-3.1573,143.41,560.95,0,0,1,6.214,3.214,0,0
1.1037,2.872e+05,2.3345,618.87,0,0,45481,-3.1487,143.55,560.7,0,0,1,6.227,3.227,0,0
1.1064,2.8784e+05,2.3323,620.07,0,0,45633,-3.1402,143.68,560.46,0,0,1,6.24,3.24,0,0
1.1089,2.8847e+05,2.3303,621.24,0,0,45781,-3.1318,143.82,560.22,0,0,1,6.253,3.253,0,0
1.1115,2.8909e+05,2.3282,622.41,0,0,45929,-3.1235,143.95,559.98,0,0,1,6.266,3.266,0,0
1.114,2.897e+05,2.3262,623.55,0,0,46074,-3.1153,144.08,559.75,0,0,1,6.279,3.279,0,0
1.1165,2.903e+05,2.3242,624.67,0,0,46217,-3.1072,144.21,559.52,0,0,1,6.292,3.292,0,0
1.1189,2.909e+05,2.3222,625.8,0,0,46359,-3.0992,144.34,559.29,0,0,1,6.305,3.305,0,0
1.1213,2.9147e+05,2.3203,626.86,0,0,46496,-3.0915,144.46,559.07,0,0,1,6.318,3.318,0,0
1.1236,2.9204e+05,2.3185,627.93,0,0,46633,-3.0838,144.58,558.85,0,0,1,6.331,3.331,0,0
1.1259,2.926e+05,2.3166,628.98,0,0,46766,-3.0762,144.7,558.64,0,0,1,6.344,3.344,0,0
1.1281,2.9314e+05,2.3148,629.99,0,0,46896,-3.0689,144.81,558.43,0,0,1,6.357,3.357,0,0
1.1304,2.9369e+05,2.3131,631,0,0,47026,-3.0616,144.93,558.23,0,0,1,6.37,3.37,0,0
1.1325,2.942e+05,2.3114,631.96,0,0,47149,-3.0546,145.03,558.03,0,0,1,6.383,3.383,0,0
1.1346,2.9471e+05,2.3097,632.92,0,0,47273,-3.0477,145.14,557.84,0,0,1,6.396,3.396,0,0
1.1367,2.9521e+05,2.3081,633.85,0,0,47393,-3.0409,145.25,557.65,0,0,1,6.409,3.409,0,0
