"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.91005,1.9733e+05,0.30216,94.62,1.4284e-17,0,76965,-1.3727,294.62,103.97,1.5689e-17,0,1,4.251,1.251,0,0
0.91029,1.9738e+05,0.30128,94.374,0,0,76994,-1.3711,294.65,103.68,0,0,1,4.264,1.264,0,0
0.91053,1.9742e+05,0.3004,94.128,0,0,77022,-1.3695,294.68,103.38,0,0,1,4.277,1.277,0,0
0.91077,1.9746e+05,0.29952,93.882,0,0,77050,-1.3679,294.71,103.08,0,0,1,4.29,1.29,0,0
0.911,1.9751e+05,0.29865,93.637,5.82e-18,0,77078,-1.3663,294.74,102.78,6.386e-18,0,1,4.303,1.303,0,0
0.91122,1.9755e+05,0.2978,93.399,0,0,77104,-1.3649,294.77,102.5,0,0,1,4.316,1.316,0,0
0.91143,1.9759e+05,0.29696,93.161,0,0,77130,-1.3634,294.8,102.21,0,0,1,4.329,1.329,0,0
0.91165,1.9762e+05,0.29611,92.922,0,0,77156,-1.362,294.83,101.93,0,0,1,4.342,1.342,0,0
0.91187,1.9766e+05,0.29528,92.687,-2.4172e-17,0,77182,-1.3605,294.86,101.65,-2.6497e-17,0,1,4.355,1.355,0,0
0.91209,1.9771e+05,0.29446,92.457,0,0,77208,-1.359,294.89,101.37,0,0,1,4.368,1.368,0,0
0.91232,1.9775e+05,0.29364,92.227,0,0,77235,-1.3575,294.91,101.09,0,0,1,4.381,1.381,0,0
0.91255,1.9779e+05,0.29282,91.997,0,0,77261,-1.356,294.94,100.81,0,0,1,4.394,1.394,0,0
0.91277,1.9783e+05,0.29201,91.77,-5.0972e-17,0,77287,-1.3546,294.97,100.54,-5.5819e-17,0,1,4.407,1.407,0,0
0.91298,1.9787e+05,0.29122,91.545,0,0,77312,-1.3531,295,100.27,0,0,1,4.42,1.42,0,0
0.91319,1.9791e+05,0.29042,91.32,0,0,77337,-1.3517,295.02,100,0,0,1,4.433,1.433,0,0
0.91341,1.9795e+05,0.28962,91.095,0,0,77362,-1.3503,295.05,99.731,0,0,1,4.446,1.446,0,0
0.91362,1.9799e+05,0.28885,90.877,3.4692e-17,0,77387,-1.3489,295.08,99.469,3.7956e-17,0,1,4.459,1.459,0,0
0.91382,1.9803e+05,0.28809,90.662,0,0,77411,-1.3476,295.1,99.212,0,0,1,4.472,1.472,0,0
0.91403,1.9806e+05,0.28733,90.446,0,0,77435,-1.3462,295.13,98.954,0,0,1,4.485,1.485,0,0
0.91424,1.981e+05,0.28657,90.231,0,0,77460,-1.3448,295.15,98.696,0,0,1,4.498,1.498,0,0
