"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.61672,0.55258,0.95704,0.00095034
0.56244,0.55267,0.95704,0.0014655
0.51996,0.55273,0.95704,0.0017845
-0.7233,0.56158,0.95704,0.01121
-0.77936,0.56252,0.95704,0.011678
-0.91397,0.56406,0.95704,0.012266
-0.62664,0.5604,0.95704,0.010639
-0.49898,0.55923,0.95704,0.0099265
-0.47613,0.55891,0.95704,0.0097346
0.46988,0.55287,0.95704,0.0022913
-0.033258,0.58224,0.95704,-0.016063
-0.029888,0.57835,0.95704,-0.015489
-0.033363,0.5748,0.95704,-0.014876
-0.04226,0.57091,0.95704,-0.014175
-0.030469,0.56896,0.95704,-0.013683
-0.035971,0.56736,0.95704,-0.01329
-0.033039,0.56631,0.95704,-0.013038
0.68978,0.55252,0.95704,0
0.65584,0.55255,0.95704,0.00036068
0.50179,0.55659,0.95704,-0.0079236
0.5654,0.55534,0.95704,-0.0066581
0.60016,0.55512,0.95704,-0.006368
0.49791,0.55667,0.95704,-0.0080043
0.49521,0.55669,0.95704,-0.0080221
0.2976,0.5581,0.95704,-0.0091725
0.70449,0.55437,0.95704,-0.0053976
0.72188,0.55425,0.95704,-0.0052421
0.28348,0.55852,0.95704,-0.0094491
0.72188,0.55418,0.95704,-0.005118
-0.11032,0.61872,0.95704,-0.020338
-0.098698,0.61266,0.95704,-0.019783
-0.086021,0.60693,0.95704,-0.019203
-0.11533,0.62128,0.95704,-0.020579
-0.11997,0.6237,0.95704,-0.020784
-0.13079,0.62992,0.95704,-0.021287
-0.078983,0.60404,0.95704,-0.018894
-0.14515,0.63855,0.95704,-0.021925
-0.14176,0.63649,0.95704,-0.021769
-0.14818,0.64051,0.95704,-0.022058
-0.07307,0.91861,0.95704,0.017273
-0.066388,0.92235,0.95704,0.016956
-0.064796,0.9234,0.95704,0.016864
-0.087544,0.91066,0.95704,0.017946
-0.092478,0.908,0.95704,0.018163
-0.10766,0.8994,0.95704,0.018868
-0.060748,0.92617,0.95704,0.016621
-0.048848,0.93451,0.95704,0.01589
-0.032818,0.94527,0.95704,0.014921
-1.0318,0.62472,0.95704,0.020872
-1.0301,0.62597,0.95704,0.020968
-1.0187,0.63335,0.95704,0.021548
-1.0059,0.64035,0.95704,0.022047
-1.0027,0.64199,0.95704,0.022159
-1.0004,0.64368,0.95704,0.022264
-0.99145,0.65059,0.95704,0.022702
-0.24053,0.81977,0.95704,0.024037
-0.23923,0.82088,0.95704,0.023985
-0.24119,0.81895,0.95704,0.024071
-0.2303,0.82845,0.95704,0.023623
-0.22336,0.83399,0.95704,0.02333
-0.21961,0.83711,0.95704,0.023168
-0.24769,0.81108,0.95704,0.024405
-0.21305,0.84141,0.95704,0.022924
-0.98279,0.65722,0.95704,0.023084
-0.9821,0.65925,0.95704,0.023196
-0.98416,0.66182,0.95704,0.023325
-0.98519,0.67263,0.95704,0.023858
-0.9652,0.67691,0.95704,0.024046
-0.98908,0.6681,0.95704,0.023646
-0.37471,0.75426,0.95704,0.025615
-0.26835,0.75805,0.95704,0.025608
-0.5142,0.74938,0.95704,0.025629
-0.045959,0.9394,0.95704,-0.01545
-0.049746,0.93698,0.95704,-0.015671
-0.21546,0.69045,0.95704,-0.024574
-0.21443,0.6897,0.95704,-0.024546
-0.20456,0.68179,0.95704,-0.024249
-0.22943,0.83031,0.95704,-0.023529
-0.24105,0.82201,0.95704,-0.023934
-0.22912,0.83054,0.95704,-0.023518
0.032871,0.9829,0.95704,0.011289
0.050566,0.99218,0.95704,0.010337
0.059386,0.99692,0.95704,0.0098353
0.14095,1.026,0.95704,0.0065579
0.16548,1.031,0.95704,0.0059584
0.11757,1.0176,0.95704,0.0075441
0.22296,1.0406,0.95704,0.0047872
0.2377,1.0433,0.95704,0.0044578
0.17906,1.0347,0.95704,0.0055149
0.23069,1.0452,0.95704,0.0042243
0.24073,1.0519,0.95704,0.0033997
0.085489,1.0079,0.95704,0.008637
0.1157,1.0169,0.95704,0.0076185
0.11644,1.0171,0.95704,0.0075924
0.074467,1.0033,0.95704,0.0091366
0.35508,1.0584,0.95704,0.0025902
0.3587,1.0588,0.95704,0.0025458
-1.0483,0.60746,0.95704,0.019262
-1.0476,0.60816,0.95704,0.019329
-1.0501,0.6068,0.95704,0.019192
-1.0333,0.62354,0.95704,0.020772
-1.0347,0.61609,0.95704,0.02011
-1.1225,0.59026,0.95704,0.017229
-1.1216,0.59044,0.95704,0.017251
-1.0693,0.59886,0.95704,0.018302
-1.1239,0.5901,0.95704,0.017207
-1.2013,0.58161,0.95704,0.01599
-1.1997,0.57498,0.95704,0.014924
-1.1912,0.57265,0.95704,0.01451
-1.1391,0.56898,0.95704,0.013614
-1.1731,0.57125,0.95704,0.014168
-1.1232,0.56637,0.95704,0.01304
-1.032,0.5651,0.95704,0.012659
0.29126,1.0794,0.95704,-1.9376e-09
0.88905,1.0769,0.95704,-0.0003035
1.05,1.0764,0.95704,-0.00036942
0.028908,0.98596,0.95704,-0.010986
0.023065,0.9825,0.95704,-0.011334
0.25362,1.0429,0.95704,-0.0045085
0.22338,1.0404,0.95704,-0.0048164
0.23968,1.0478,0.95704,-0.0039065
0.23466,1.0515,0.95704,-0.0034478
0.27964,1.0535,0.95704,-0.0031994
0.45265,1.0596,0.95704,-0.0024421
0.049925,0.99585,0.95704,-0.0099469
0.053345,0.99754,0.95704,-0.0097696
0.42524,1.0659,0.95704,0.0016704
0.4075,1.0675,0.95704,0.0014715
-0.56603,0.71221,0.95704,0.0252
-0.57205,0.71486,0.95704,0.025258
-0.60695,0.70359,0.95704,0.024983
-0.5898,0.70784,0.95704,0.025088
-0.64343,0.70046,0.95704,0.024895
-0.75722,0.69481,0.95704,0.024719
-0.88259,0.68703,0.95704,0.024451
-0.89412,0.68577,0.95704,0.024404
-0.90894,0.68366,0.95704,0.024318
-0.22772,0.76214,0.95704,0.025578
-0.67849,0.73177,0.95704,0.025526
-0.68817,0.73999,0.95704,0.025599
-0.59548,0.74531,0.95704,0.025623
-0.67746,0.73038,0.95704,0.025515
-0.67022,0.72947,0.95704,0.025504
-0.60952,0.72121,0.95704,0.025378
0.42232,0.55298,0.95704,0.0026937
0.41275,0.55305,0.95704,0.0028833
0.37432,0.55339,0.95704,0.0037242
0.78476,0.55278,0.95704,-0.002031
0.78593,0.55276,0.95704,-0.0019279
0.76459,0.55259,0.95704,-0.00099315
0.78609,0.5528,0.95704,-0.0020803
0.22485,0.55968,0.95704,-0.010223
0.20219,0.56041,0.95704,-0.010618
0.18834,0.56153,0.95704,-0.011221
0.010446,0.5637,0.95704,-0.012158
0.1348,0.56214,0.95704,-0.011493
0.0011789,0.56439,0.95704,-0.012391
