"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.21556,1.1432,1.1843,-2.3977e-09
0.32691,1.1428,1.1843,-4.6223e-05
1.0501,1.1406,1.1843,-0.00032218
0.5246,0.68375,1.1843,0
0.50033,0.68377,1.1843,0.00033056
0.45245,0.6838,1.1843,0.0008626
-0.27375,0.85726,1.1843,0.022349
-0.26747,0.85904,1.1843,0.02235
-0.25782,0.86635,1.1843,0.022307
-0.27666,0.84239,1.1843,0.02229
-0.26672,0.84817,1.1843,0.022331
-0.27883,0.84033,1.1843,0.022263
-0.25424,0.82337,1.1843,0.021986
-0.26023,0.83027,1.1843,0.022118
-0.24921,0.81604,1.1843,0.021801
-0.23375,0.80283,1.1843,0.021388
-0.23833,0.80398,1.1843,0.02143
-0.24418,0.81073,1.1843,0.021643
-0.91221,0.75328,1.1843,0.018723
-0.90652,0.75466,1.1843,0.018818
-0.91457,0.75152,1.1843,0.018586
-0.18539,0.79254,1.1843,0.020986
-0.1963,0.79349,1.1843,0.021025
-0.13893,0.78527,1.1843,0.020656
-0.21066,0.79699,1.1843,0.02116
-0.17267,0.77805,1.1843,0.020294
-0.14688,0.78258,1.1843,0.020527
-0.33165,0.77396,1.1843,0.020067
-1.0358,0.7342,1.1843,0.017054
-1.013,0.73604,1.1843,0.017241
-1.1248,0.72749,1.1843,0.016348
-0.99495,0.73768,1.1843,0.017387
-0.92524,0.74477,1.1843,0.018038
-0.25645,0.86819,1.1843,0.022296
-0.25591,0.86909,1.1843,0.022285
-0.82438,0.76355,1.1843,0.019443
-0.79444,0.76431,1.1843,0.019489
-0.44155,0.77167,1.1843,0.019942
-0.24886,0.81482,1.1843,0.021771
-0.24702,0.8868,1.1843,0.021994
-0.24489,0.89098,1.1843,0.021884
-0.26318,0.87724,1.1843,0.022182
-0.26549,0.88225,1.1843,0.022082
-0.096043,0.68632,1.1843,0.00593
-0.30036,0.68705,1.1843,0.006658
0.015008,0.68583,1.1843,0.0053184
0.11362,0.68525,1.1843,0.0045543
-0.38935,0.68744,1.1843,0.0070463
-0.51015,0.68843,1.1843,0.0078479
-0.55581,0.68865,1.1843,0.0080242
-0.67492,0.68988,1.1843,0.008833
-0.69994,0.69015,1.1843,0.0090122
-0.87225,0.69156,1.1843,0.0097563
-0.91108,0.69189,1.1843,0.0099211
-1.0474,0.69394,1.1843,0.010771
-0.90624,0.69183,1.1843,0.0098936
-1.0565,0.6943,1.1843,0.010882
-1.1236,0.69638,1.1843,0.011545
-1.2259,0.69873,1.1843,0.01207
-1.3203,0.70028,1.1843,0.012453
0.55507,0.68377,1.1843,-0.00032511
0.63198,0.68382,1.1843,-0.00096131
-0.20048,0.90365,1.1843,-0.021495
-0.20097,0.90163,1.1843,-0.021561
-0.2578,0.80096,1.1843,-0.021319
-0.26512,0.79451,1.1843,-0.021064
-0.2572,0.80141,1.1843,-0.021338
-0.22476,0.86848,1.1843,-0.022293
-0.22471,0.86813,1.1843,-0.022295
-0.22451,0.86873,1.1843,-0.022291
0.6718,0.68405,1.1843,-0.0020249
0.64899,0.68396,1.1843,-0.0016112
-0.20789,0.88862,1.1843,-0.021951
