"Pressure_Coefficient","Points:0","Points:1","Points:2"
-0.10838,0.5315,0.77759,-0.023219
-0.10346,0.52839,0.77759,-0.022977
-0.11694,0.53699,0.77759,-0.023655
-0.1233,0.54228,0.77759,-0.024041
-0.099035,0.52544,0.77759,-0.022725
-0.089854,0.51968,0.77759,-0.022213
0.7171,0.44893,0.77759,0
0.71278,0.44893,0.77759,2.9322e-05
0.62509,0.449,0.77759,0.0011096
0.47091,1.0061,0.77759,-0.0028241
0.24473,0.99771,0.77759,-0.0038656
0.47302,1.0063,0.77759,-0.0028049
0.14861,0.97845,0.77759,-0.0062297
0.14583,0.97188,0.77759,-0.0070203
0.1518,0.98046,0.77759,-0.005988
0.16011,0.98151,0.77759,-0.0058596
0.12653,0.96858,0.77759,-0.0074073
-0.099992,0.84272,0.77759,-0.019799
-0.10903,0.83673,0.77759,-0.020293
-0.11299,0.83408,0.77759,-0.02051
-0.22572,0.75821,0.77759,-0.025716
-0.23006,0.75491,0.77759,-0.025897
-0.23136,0.75372,0.77759,-0.025955
-0.23401,0.75169,0.77759,-0.026048
-0.24649,0.74198,0.77759,-0.026514
-0.0069798,0.90739,0.77759,-0.013968
-0.012796,0.90352,0.77759,-0.014344
-0.020629,0.89828,0.77759,-0.014843
0.0012614,0.91267,0.77759,-0.013451
0.0075222,0.91629,0.77759,-0.013087
0.015678,0.92134,0.77759,-0.012583
-0.026758,0.89399,0.77759,-0.015252
-0.030214,0.89155,0.77759,-0.015481
-0.038077,0.88596,0.77759,-0.016001
0.02461,0.92732,0.77759,-0.011967
0.029253,0.93029,0.77759,-0.011663
-0.033948,0.8901,0.77759,0.015614
-0.025839,0.89546,0.77759,0.015114
-0.038856,0.88682,0.77759,0.015921
0.033682,0.93003,0.77759,0.01169
0.051156,0.93721,0.77759,0.010932
-0.74584,0.69833,0.77759,0.027895
-0.73173,0.70753,0.77759,0.027706
-0.72822,0.70979,0.77759,0.027654
-0.73236,0.68186,0.77759,0.02814
-0.75429,0.69269,0.77759,0.028009
-0.75498,0.69425,0.77759,0.027981
-0.69567,0.66851,0.77759,0.028217
-0.69561,0.66849,0.77759,0.028217
-0.6955,0.66842,0.77759,0.028217
-0.69558,0.66848,0.77759,0.028217
-0.67413,0.65398,0.77759,0.028177
-0.076688,0.51103,0.77759,-0.021374
-0.076345,0.51082,0.77759,-0.021354
0.5276,0.45313,0.77759,-0.0084725
0.55675,0.45242,0.77759,-0.0077209
0.47006,0.45352,0.77759,-0.0088282
0.59168,0.45193,0.77759,-0.0072131
0.6139,0.45167,0.77759,-0.0068943
0.70146,0.45101,0.77759,-0.0060292
0.37268,0.45454,0.77759,-0.0096826
0.31139,0.45604,0.77759,-0.010757
0.33679,0.45546,0.77759,-0.010376
0.73555,0.45054,0.77759,-0.0052643
0.76173,0.45011,0.77759,-0.0045566
-0.5314,0.72492,0.77759,0.027185
-0.25975,0.73837,0.77759,0.026672
-0.20373,0.74598,0.77759,0.026322
-0.17061,0.75011,0.77759,0.026136
-0.56535,0.72324,0.77759,0.027251
-0.6145,0.71867,0.77759,0.027388
-0.17196,0.75397,0.77759,0.02594
-0.17618,0.76282,0.77759,0.025474
0.78144,0.44914,0.77759,-0.0018709
0.75917,0.44899,0.77759,-0.0010825
-0.26154,0.68383,0.77759,-0.028121
-0.25553,0.6716,0.77759,-0.028202
-0.25486,0.67017,0.77759,-0.028213
-0.25422,0.66922,0.77759,-0.028215
-0.24526,0.65804,0.77759,-0.028199
-0.24043,0.65084,0.77759,-0.028143
-0.17545,0.58887,0.77759,-0.026601
-0.17091,0.58475,0.77759,-0.02642
-0.18022,0.59293,0.77759,-0.026763
-0.16169,0.5759,0.77759,-0.02602
-0.15721,0.57156,0.77759,-0.025806
-0.16604,0.58021,0.77759,-0.026224
-0.15203,0.56695,0.77759,-0.025558
-0.14764,0.56292,0.77759,-0.025345
-0.14309,0.55908,0.77759,-0.025124
-0.1377,0.55426,0.77759,-0.024835
-0.13111,0.54915,0.77759,-0.024501
-0.12682,0.54563,0.77759,-0.024275
-0.18548,0.59739,0.77759,-0.026933
-0.23602,0.64555,0.77759,-0.028099
-0.22988,0.63925,0.77759,-0.028016
-0.2241,0.63375,0.77759,-0.02792
-0.028488,0.49317,0.77759,-0.019311
-0.0024757,0.48487,0.77759,-0.01818
-0.025825,0.47688,0.77759,-0.016975
-0.030605,0.49395,0.77759,-0.01942
-0.032809,0.49474,0.77759,-0.01952
-0.057202,0.50254,0.77759,-0.020452
-0.033159,0.47503,0.77759,-0.01667
-0.076105,0.51068,0.77759,-0.02134
-0.19581,0.60646,0.77759,-0.027245
-0.19154,0.60248,0.77759,-0.027106
-0.19839,0.609,0.77759,-0.027325
-0.13991,0.81676,0.77759,-0.021877
-0.14002,0.81669,0.77759,-0.021882
-0.1161,0.83203,0.77759,-0.020674
-0.13977,0.81684,0.77759,-0.02187
0.090798,0.9558,0.77759,-0.0088883
0.089405,0.95497,0.77759,-0.008983
0.41122,1.0091,0.77759,0.0024579
0.37906,1.0163,0.77759,0.001563
-0.18557,0.77061,0.77759,0.025016
-0.19333,0.77624,0.77759,0.024691
-0.64367,0.62523,0.77759,0.027738
-0.65168,0.6344,0.77759,0.027938
-0.66147,0.64274,0.77759,0.028064
-1.1835,0.47935,0.77759,0.017366
-1.1733,0.48231,0.77759,0.017792
-1.1835,0.47677,0.77759,0.01695
-1.1484,0.48828,0.77759,0.018665
-1.1201,0.4924,0.77759,0.019216
-1.088,0.49708,0.77759,0.019807
-1.1502,0.47076,0.77759,0.01591
-0.25486,0.73276,0.77759,-0.026902
0.10576,0.96337,0.77759,-0.0080208
0.70588,1.0233,0.77759,0.00070338
0.81863,1.0257,0.77759,0.00040671
0.2634,1.0289,0.77759,-1.5743e-09
0.33241,1.0286,0.77759,-4.2467e-05
1.2497,1.0257,0.77759,-0.00040671
0.30593,1.0286,0.77759,4.2464e-05
1.1402,1.0244,0.77759,-0.00056581
0.33206,1.0166,0.77759,-0.0015263
0.47249,1.0065,0.77759,-0.0027794
-0.26351,0.70909,0.77759,-0.02767
-0.26399,0.70751,0.77759,-0.027702
-0.26344,0.7096,0.77759,-0.027659
-0.26577,0.69032,0.77759,-0.028043
-0.26729,0.69552,0.77759,-0.027959
-0.074399,0.86003,0.77759,-0.018326
-0.079411,0.85662,0.77759,-0.01862
-0.070674,0.86266,0.77759,-0.018094
-0.086969,0.85137,0.77759,-0.019071
-0.093106,0.84734,0.77759,-0.01941
-0.061809,0.86869,0.77759,-0.017565
-0.050976,0.87649,0.77759,-0.016866
-0.049815,0.87735,0.77759,-0.016789
-0.048472,0.8783,0.77759,-0.016701
0.048179,0.93922,0.77759,-0.010716
0.044907,0.93785,0.77759,-0.010865
0.041004,0.9361,0.77759,-0.01105
0.063686,0.94646,0.77759,-0.0099318
0.087233,0.95436,0.77759,-0.0090514
-0.16469,0.80137,0.77759,-0.023013
-0.16787,0.79944,0.77759,-0.023154
-0.15384,0.8081,0.77759,-0.022527
-0.17191,0.79692,0.77759,-0.023328
-0.18176,0.79077,0.77759,-0.023753
-0.18775,0.78655,0.77759,-0.02403
-0.19329,0.78261,0.77759,-0.024291
-0.20323,0.77523,0.77759,-0.024743
-0.209,0.77072,0.77759,-0.025024
-0.1558,0.81278,0.77759,0.022178
-0.14808,0.81713,0.77759,0.021846
-0.015558,0.90125,0.77759,0.014562
-0.010652,0.90408,0.77759,0.01429
-0.25533,0.7321,0.77759,-0.026928
-0.25571,0.73115,0.77759,-0.026962
-0.2591,0.72201,0.77759,-0.02729
-0.26297,0.71096,0.77759,-0.027619
0.23253,0.99436,0.77759,-0.0042792
0.2271,0.98916,0.77759,-0.004923
-0.12623,0.82543,0.77759,-0.021203
-0.66244,0.64365,0.77759,0.028078
-0.66432,0.6451,0.77759,0.028093
-0.56792,0.59242,0.77759,0.026744
-0.56837,0.59271,0.77759,0.026757
-0.56946,0.59297,0.77759,0.026767
-0.56039,0.57505,0.77759,0.025981
-0.55594,0.57584,0.77759,0.026019
-0.55336,0.58372,0.77759,0.026381
-0.57517,0.57423,0.77759,0.025938
-0.68447,0.56637,0.77759,0.025534
-0.83848,0.55893,0.77759,0.025117
-0.85934,0.55777,0.77759,0.025049
-0.95939,0.54907,0.77759,0.024504
-0.87166,0.55651,0.77759,0.024968
-0.9946,0.54216,0.77759,0.024034
-0.99699,0.54047,0.77759,0.023913
0.71762,0.44893,0.77759,-2.8329e-05
-1.1195,0.46887,0.77759,0.015493
-1.0794,0.46467,0.77759,0.014521
-1.0803,0.46536,0.77759,0.014675
-1.0457,0.4639,0.77759,0.014269
-0.95418,0.4613,0.77759,0.013413
-1.0396,0.50597,0.77759,0.020838
-1.0294,0.5086,0.77759,0.021118
-0.6222,0.6099,0.77759,0.027352
-0.62719,0.61269,0.77759,0.027432
-0.64045,0.62086,0.77759,0.027653
-0.6992,0.4582,0.77759,0.012023
-0.72676,0.45851,0.77759,0.01219
-0.88499,0.46041,0.77759,0.013027
-0.036521,0.47356,0.77759,-0.016379
-0.029043,0.46926,0.77759,-0.015614
-0.034809,0.4673,0.77759,-0.015137
0.81465,0.44958,0.77759,-0.0033803
0.81664,0.44954,0.77759,-0.0032759
0.8107,0.44943,0.77759,-0.0029204
0.79619,0.44919,0.77759,-0.0021368
0.096137,0.46004,0.77759,-0.012879
0.13789,0.45809,0.77759,-0.011975
0.033857,0.46134,0.77759,-0.013427
-0.018691,0.46258,0.77759,-0.013841
0.15106,0.45784,0.77759,-0.011835
0.19294,0.45734,0.77759,-0.011533
-0.21738,0.62712,0.77759,-0.027794
-0.21069,0.621,0.77759,-0.027657
-0.20544,0.61634,0.77759,-0.02753
-0.053769,0.46481,0.77759,-0.014561
0.56255,0.44917,0.77759,0.0020153
-1.0602,0.50281,0.77759,0.020467
-0.602,0.60088,0.77759,0.027058
-0.61802,0.60824,0.77759,0.027297
-0.99142,0.52534,0.77759,0.022717
-0.99736,0.53185,0.77759,0.023257
-0.99645,0.53867,0.77759,0.023775
-1.0074,0.51462,0.77759,0.021732
-0.99569,0.52101,0.77759,0.022325
-0.99114,0.52324,0.77759,0.022536
