"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.072741,1.0627,1.1365,0.008073
-0.087433,0.9596,1.1365,0.017626
-0.087306,0.95966,1.1365,0.017621
0.1006,1.0724,1.1365,0.0069848
0.12723,1.08,1.1365,0.0061033
-0.087146,0.95975,1.1365,0.017614
0.1573,1.0874,1.1365,0.0052262
-0.061696,0.97457,1.1365,0.016424
-0.057956,0.977,1.1365,0.016227
-0.071719,0.96833,1.1365,0.016935
-0.052475,0.98033,1.1365,0.015947
-0.043505,0.98566,1.1365,0.015497
-0.015883,1.0036,1.1365,0.013927
-0.015808,1.0036,1.1365,0.013922
-0.03018,0.99433,1.1365,0.014747
-0.037605,0.98955,1.1365,0.015159
-0.015734,1.0037,1.1365,0.013918
-0.0038021,1.0125,1.1365,0.013117
0.0064649,1.0207,1.1365,0.012351
0.017026,1.0273,1.1365,0.011713
0.018503,1.0282,1.1365,0.011629
0.0428,1.0455,1.1365,0.0099084
0.00096821,1.0166,1.1365,0.012734
0.29055,1.1022,1.1365,0.0034095
0.3023,1.1057,1.1365,0.0029773
0.4092,1.1084,1.1365,0.0026435
0.18879,1.0973,1.1365,0.0040182
0.16894,1.0905,1.1365,0.0048521
0.16015,1.0887,1.1365,0.0050715
0.39401,1.1128,1.1365,0.0021018
0.65019,1.1283,1.1365,-0.00017838
-0.0020587,1.035,1.1365,-0.010968
-0.0031559,1.0343,1.1365,-0.01104
-0.092759,0.96591,1.1365,-0.017129
-0.093671,0.9653,1.1365,-0.017178
-0.094684,0.96466,1.1365,-0.017227
-0.10686,0.9568,1.1365,-0.017841
0.22024,1.1032,1.1365,-0.0032911
0.21293,1.1009,1.1365,-0.0035665
0.27541,1.1054,1.1365,-0.0030144
-0.045991,0.99981,1.1365,-0.014263
-0.035789,1.0084,1.1365,-0.013491
-0.025846,1.0166,1.1365,-0.012729
0.17624,1.0945,1.1365,-0.0043607
-0.14696,0.93105,1.1365,-0.019678
-0.1184,0.94928,1.1365,-0.018406
-0.11971,0.94841,1.1365,-0.01847
0.25973,1.1181,1.1365,0.0014477
0.46919,1.1214,1.1365,0.0010375
-1.1197,0.72867,1.1365,0.019356
-0.18442,0.80522,1.1365,0.022772
-0.25097,0.84046,1.1365,0.023025
-0.56314,0.66214,1.1365,0.0089342
-0.60059,0.66244,1.1365,0.0090965
-0.43655,0.66137,1.1365,0.0084009
-0.93703,0.66555,1.1365,0.010656
-1.0026,0.66652,1.1365,0.011063
-0.79397,0.6642,1.1365,0.010077
-0.71499,0.66355,1.1365,0.0097317
-1.0692,0.66802,1.1365,0.011544
-1.1184,0.69951,1.1365,0.016661
-1.0973,0.70519,1.1365,0.017273
0.25135,0.65695,1.1365,0.0034304
0.21772,0.65722,1.1365,0.0039572
0.39136,0.65653,1.1365,0.0023627
0.29679,0.65678,1.1365,0.0030599
0.17275,0.65776,1.1365,0.0048159
0.47062,0.65636,1.1365,0.0017911
0.42407,0.65644,1.1365,0.0021124
-0.17584,0.91341,1.1365,-0.02075
-0.068982,0.9825,1.1365,-0.015765
-0.069392,0.98222,1.1365,-0.015789
-0.081051,0.97387,1.1365,-0.016484
-0.18737,0.90551,1.1365,-0.021171
-0.19736,0.89826,1.1365,-0.02152
-0.19913,0.89694,1.1365,-0.021585
-0.20152,0.89524,1.1365,-0.021659
-0.21026,0.88862,1.1365,-0.021939
-0.21743,0.88191,1.1365,-0.022184
0.022603,1.0525,1.1365,-0.0091708
0.019855,1.0515,1.1365,-0.0092851
0.018125,1.0505,1.1365,-0.0093915
0.045642,1.0601,1.1365,-0.0083629
0.056345,1.0674,1.1365,-0.0075599
0.059262,1.0687,1.1365,-0.0074097
0.010636,1.0429,1.1365,-0.010176
0.097644,1.0773,1.1365,-0.0064225
0.064174,1.0701,1.1365,-0.007248
-0.22153,0.87807,1.1365,-0.02232
-0.21972,0.8799,1.1365,-0.02226
0.10763,1.0842,1.1365,-0.0056056
0.12633,1.0876,1.1365,-0.0051935
0.11498,1.0859,1.1365,-0.0054054
-0.024918,1.0174,1.1365,-0.01266
-0.025424,1.017,1.1365,-0.012695
-0.013974,1.0256,1.1365,-0.011878
-0.0041062,1.0336,1.1365,-0.011108
-0.2757,0.78341,1.1365,-0.022197
-0.27656,0.78043,1.1365,-0.022104
-0.27898,0.77451,1.1365,-0.021883
-0.27305,0.78924,1.1365,-0.022386
-0.27081,0.79669,1.1365,-0.022582
-0.28021,0.77163,1.1365,-0.021774
-0.27035,0.79803,1.1365,-0.022618
-0.28085,0.77013,1.1365,-0.021707
-0.26907,0.80066,1.1365,-0.022674
-0.25863,0.82609,1.1365,-0.023023
-0.25437,0.8348,1.1365,-0.023043
-0.11664,0.68397,1.1365,-0.014636
-0.26516,0.81009,1.1365,-0.022848
-0.26619,0.80687,1.1365,-0.022802
0.68164,0.65614,1.1365,0.00018403
0.56465,0.6562,1.1365,0.0010119
-1.0974,0.71662,1.1365,0.018368
-1.106,0.72152,1.1365,0.018801
-1.1145,0.72392,1.1365,0.019
-1.091,0.71296,1.1365,0.01805
-1.0913,0.71104,1.1365,0.017872
-0.24052,0.83167,1.1365,0.023043
-0.24082,0.83194,1.1365,0.023043
-0.65711,0.76507,1.1365,0.021485
