"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.4479,0.94578,0.52637,0.0015582
0.41088,0.94824,0.52637,0.0012532
-0.66739,0.56486,0.52637,0.031774
-0.67044,0.56703,0.52637,0.031751
-0.70656,0.59748,0.52637,0.031223
-0.70983,0.60118,0.52637,0.031122
-0.70382,0.59512,0.52637,0.031276
-0.71636,0.6094,0.52637,0.030875
-0.7198,0.61493,0.52637,0.030697
-0.71421,0.6062,0.52637,0.03098
-0.51941,0.6654,0.52637,0.028326
-0.466,0.66714,0.52637,0.028228
-0.37278,0.66986,0.52637,0.028064
-0.73074,0.65828,0.52637,0.028735
-0.77645,0.65185,0.52637,0.029077
-0.12782,0.75031,0.52637,0.022166
-0.12244,0.75429,0.52637,0.021834
-0.1134,0.76092,0.52637,0.021268
-0.63163,0.53126,0.52637,0.031762
-0.64057,0.5393,0.52637,0.031818
-0.63086,0.53055,0.52637,0.031758
-0.60046,0.48717,0.52637,0.030912
-0.60314,0.49444,0.52637,0.031112
-0.59821,0.48066,0.52637,0.030711
-0.60354,0.49583,0.52637,0.031152
-0.6043,0.49708,0.52637,0.031183
-0.60907,0.50449,0.52637,0.031355
-0.59757,0.47851,0.52637,0.03064
-0.61488,0.51275,0.52637,0.031517
-0.61516,0.51316,0.52637,0.031526
-0.14827,0.68441,0.52637,0.02715
-0.16622,0.69202,0.52637,0.026638
-0.17016,0.67969,0.52637,0.027451
-0.72333,0.62365,0.52637,0.030377
-0.72334,0.62366,0.52637,0.030376
-0.72335,0.62366,0.52637,0.030376
-0.73757,0.63236,0.52637,0.030017
-0.18728,0.67571,0.52637,0.027707
-0.75887,0.63781,0.52637,0.029768
-0.16867,0.69381,0.52637,0.026515
-0.17821,0.70185,0.52637,0.025951
-0.16794,0.69314,0.52637,0.026563
-0.17795,0.70789,0.52637,0.025511
-0.17707,0.71057,0.52637,0.025316
-0.17178,0.71493,0.52637,0.024988
-0.16628,0.71929,0.52637,0.024659
-0.16321,0.72197,0.52637,0.02445
-0.69674,0.58875,0.52637,0.031426
-0.68773,0.58099,0.52637,0.03157
-0.61549,0.51353,0.52637,0.031532
-0.62304,0.5218,0.52637,0.031658
-0.68693,0.58025,0.52637,0.031585
-0.63027,0.52994,0.52637,0.031752
-0.77021,0.64099,0.52637,0.029625
-0.78955,0.64602,0.52637,0.029377
-0.80173,0.64961,0.52637,0.029198
-0.14468,0.73779,0.52637,0.023199
-0.13444,0.74554,0.52637,0.022565
-0.14604,0.73672,0.52637,0.023286
-0.14687,0.73605,0.52637,0.02334
-0.15632,0.72803,0.52637,0.02398
-0.67771,0.57232,0.52637,0.031697
-0.68578,0.57927,0.52637,0.0316
-0.59349,0.46423,0.52637,0.030115
-0.59586,0.46985,0.52637,0.030333
-0.59719,0.4761,0.52637,0.030554
0.16774,0.30621,0.52637,0.0067719
0.011642,0.30745,0.52637,0.0083198
-0.25177,0.61915,0.52637,-0.030546
-0.25193,0.61888,0.52637,-0.030557
-0.25201,0.6187,0.52637,-0.030563
-0.25531,0.61016,0.52637,-0.030855
-0.25695,0.60457,0.52637,-0.031027
-0.25754,0.6014,0.52637,-0.031118
-0.14343,0.44003,0.52637,-0.029004
-0.13594,0.43274,0.52637,-0.028612
-0.15108,0.44809,0.52637,-0.029406
-0.21022,0.50929,0.52637,-0.031453
-0.20403,0.50272,0.52637,-0.031312
-0.2021,0.50063,0.52637,-0.031269
-0.2002,0.49874,0.52637,-0.031223
-0.21572,0.51526,0.52637,-0.03156
-0.01676,0.35053,0.52637,-0.021367
-0.0043797,0.34413,0.52637,-0.020471
-0.023912,0.35332,0.52637,-0.021736
-0.030987,0.35632,0.52637,-0.0221
-0.25794,0.59628,0.52637,-0.031246
-1.1108,0.34558,0.52637,0.020683
-1.0965,0.3476,0.52637,0.02097
-1.1605,0.32578,0.52637,0.017409
-1.1623,0.32636,0.52637,0.017517
-1.0172,0.32149,0.52637,0.016335
-1.0194,0.32156,0.52637,0.016359
-1.0373,0.3221,0.52637,0.016495
-0.89738,0.31824,0.52637,0.015281
-0.58871,0.43144,0.52637,0.028537
-0.58828,0.43523,0.52637,0.028749
-0.57048,0.41793,0.52637,0.027719
-0.57525,0.42114,0.52637,0.027916
-0.58723,0.42657,0.52637,0.028255
-0.99314,0.36614,0.52637,0.023282
-0.99312,0.36614,0.52637,0.023283
-0.88973,0.37475,0.52637,0.024196
-1.089,0.34885,0.52637,0.021128
-1.0268,0.35732,0.52637,0.022237
-0.99315,0.36613,0.52637,0.023282
-0.0066852,0.30758,0.52637,0.0084839
-0.011837,0.30763,0.52637,0.0085385
-0.21361,0.30917,0.52637,0.010062
-0.26409,0.30964,0.52637,0.010441
-0.40024,0.31098,0.52637,0.011515
-0.020915,0.33564,0.52637,-0.019186
-0.043631,0.32827,0.52637,-0.017904
-0.063304,0.3257,0.52637,-0.017384
0.0088537,0.32006,0.52637,-0.015895
0.010727,0.31871,0.52637,-0.015416
0.00031056,0.32054,0.52637,-0.016055
0.01554,0.31753,0.52637,-0.015
-0.054506,0.32324,0.52637,-0.01679
-0.13662,0.72344,0.52637,-0.024338
-0.14467,0.71758,0.52637,-0.024788
-0.14845,0.71484,0.52637,-0.024996
-0.15417,0.71055,0.52637,-0.025313
-0.1245,0.73228,0.52637,-0.023642
-0.1254,0.7316,0.52637,-0.023697
-0.019118,0.33603,0.52637,-0.019256
-0.21824,0.51795,0.52637,-0.031604
-0.25828,0.59267,0.52637,-0.031339
-0.25853,0.59063,0.52637,-0.031385
-0.25889,0.58434,0.52637,-0.031512
-0.12641,0.42273,0.52637,-0.028022
-0.12004,0.41629,0.52637,-0.027611
-0.1331,0.42986,0.52637,-0.028444
0.69025,0.30389,0.52637,0
0.67145,0.30392,0.52637,0.00044298
0.65951,0.30397,0.52637,0.0012488
-0.05635,0.36733,0.52637,-0.02341
-0.046388,0.3621,0.52637,-0.022816
-0.062166,0.37081,0.52637,-0.023788
-0.23939,0.54394,0.52637,-0.031835
-0.23582,0.53912,0.52637,-0.031811
-0.23323,0.53528,0.52637,-0.031795
-0.24373,0.63284,0.52637,-0.029995
-0.24717,0.62761,0.52637,-0.030216
-0.24125,0.63633,0.52637,-0.02984
-0.23616,0.64189,0.52637,-0.029576
-0.011263,0.82159,0.52637,-0.015726
-0.01149,0.82142,0.52637,-0.015742
0.0049804,0.83328,0.52637,-0.014568
-0.0021247,0.82871,0.52637,-0.015024
-0.018788,0.3362,0.52637,-0.019284
-0.026565,0.81026,0.52637,-0.016814
-0.031861,0.8062,0.52637,-0.0172
-0.11772,0.41408,0.52637,-0.027464
-0.15163,0.4487,0.52637,-0.029437
-0.037858,0.80126,0.52637,-0.017661
-0.2305,0.53179,0.52637,-0.031767
0.013816,0.83892,0.52637,-0.013996
0.0091944,0.83595,0.52637,-0.0143
0.023378,0.31708,0.52637,-0.014832
0.13854,0.3152,0.52637,-0.013982
0.19539,0.3142,0.52637,-0.013497
0.21107,0.31337,0.52637,-0.013025
0.23124,0.31205,0.52637,-0.012245
0.60277,0.30411,0.52637,0.002004
0.57798,0.3042,0.52637,0.0024865
-0.65156,0.54996,0.52637,0.031836
-0.65857,0.55661,0.52637,0.031825
-0.66484,0.56245,0.52637,0.031792
-0.64952,0.54804,0.52637,0.031841
-0.64765,0.54624,0.52637,0.031839
0.68217,0.95254,0.52637,0.00072077
0.83393,0.95466,0.52637,0.00045892
0.73706,0.30392,0.52637,-0.00040388
0.82724,0.30397,0.52637,-0.0013016
0.76348,0.30425,0.52637,-0.0026722
-0.24964,0.56127,0.52637,-0.031801
-0.24754,0.55732,0.52637,-0.031815
-0.25133,0.56438,0.52637,-0.031777
-0.24543,0.55261,0.52637,-0.031837
