"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,          49,                 0,      -6.461918472,       -3.94688751,      -4.331084795,      -1.004052151,     0.09133389985,       61.70284502,     0.02080471306,                 0,                 0,                 0,    -0.05756944434,       61.70284502,     0.02080471306,                 0,   0.0003371759122,       0.144500098,     -0.9613348209,      -1.858816671,      -1.249004344,     -0.9659925443,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,          49,              0.02,       -6.99860668,      -4.169329835,      -4.494510596,      -1.533078582,     0.09133389985,       60.07538249,    -0.01745192924,                 0,                 0,                 0,    -0.02477316544,       60.07538249,    -0.01745192924,                 0,  -0.0002905005099,       0.144500098,     -0.5289259101,     -0.2145961677,     -0.1615805245,     -0.5212149904,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,          49,              0.04,      -6.398358376,      -4.103939128,      -4.448685827,     -0.9322762196,     0.09133389985,       40.10856222,     -0.4800961775,                 0,                 0,                 0,     0.09504203279,       40.10856222,     -0.4800961775,                 0,    -0.01196991742,      0.1445000979,                 0,     -0.1484573362,     -0.3888774948,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,          49,              0.06,      -6.350873928,      -4.499857018,      -4.607271856,     -0.8930901149,     0.09133389985,      -3.565611128,      -1.075464507,                 0,                 0,                 0,      0.2444987752,      -3.565611128,      -1.075464507,                 0,      0.3016213683,      0.1445000979,     -0.0333995222,       -0.58733119,     -0.5832415469,    -0.03771245312,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,          49,              0.08,      -6.672841089,      -4.227698915,      -4.365397942,      -1.233023494,     0.09133389985,      -23.96652578,      -1.131365742,                 0,                 0,                 0,      0.2615477001,      -23.96652578,      -1.131365742,                 0,     0.04720608035,      0.1445000979,     -0.3928035486,     -0.2215063906,     -0.2867225914,       -0.41021467,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,          49,               0.1,      -6.798651308,      -4.246106405,      -4.344008779,      -1.358348411,     0.09133389985,      -23.92836472,     -0.4838006458,                 0,                 0,                 0,       0.111117842,      -23.92836472,     -0.4838006458,                 0,     0.02021870912,      0.1474624254,     -0.4215357504,     -0.3468414555,     -0.3501667252,     -0.4332931423,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,          49,              0.12,      -6.472612535,      -4.578872148,      -4.667741583,      -1.010528046,     0.09133389985,      -4.616897484,      0.5930556349,                 0,                 0,                 0,     -0.1472976902,      -4.616897484,      0.5930556349,                 0,     -0.1284532821,      0.1829355806,       -0.16012873,     -0.7557512704,     -0.7633941026,     -0.1516799483,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,          49,              0.14,      -6.513237088,      -4.543745968,      -4.658600463,      -1.053130344,     0.09133389985,       18.39904981,       1.283548651,                 0,                 0,                 0,     -0.3145316515,       18.39904981,       1.283548651,                 0,      0.0697616814,      0.1902314221,     -0.3254915357,     -0.7544851915,     -0.7836309926,     -0.3222872817,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,          49,              0.16,       -6.91754979,      -4.316628217,      -4.453223873,       -1.47994823,     0.09133389985,       29.46197563,      0.9809409942,                 0,                 0,                 0,     -0.2419734302,       29.46197563,      0.9809409942,                 0,     0.03329515327,      0.1877598646,     -0.7753963557,     -0.5846429463,      -0.629101062,     -0.7941787545,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,          49,              0.18,       -6.78042774,      -4.401894672,      -4.554727222,      -1.321156399,     0.09133389985,       23.56387604,     -0.2759873279,                 0,                 0,                 0,     0.05906229803,       23.56387604,     -0.2759873279,                 0,    -0.01171230605,      0.1469716555,     -0.6643462882,     -0.7343527658,     -0.7950105749,     -0.6605542567,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         10,          49,               0.2,      -6.583568365,      -4.798852466,       -4.99717051,       -1.12013698,     0.09133389985,       6.710165674,      -1.469785355,                 0,                 0,                 0,      0.3465364556,       6.710165674,      -1.469785355,                 0,      -0.219038609,      0.1517959395,     -0.5295617261,      -1.180225942,      -1.292752113,     -0.5223136451,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         11,          49,              0.22,      -6.703939522,      -4.563810178,      -4.650740543,      -1.248115069,     0.09133389985,      -8.552902352,       -1.84161342,                 0,                 0,                 0,      0.4353694132,      -8.552902352,       -1.84161342,                 0,      0.2153202906,      0.1587571425,     -0.7108820021,     -0.9867093598,      -0.993553332,     -0.7118519997,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         12,          49,              0.24,      -7.071085065,      -4.483795893,       -4.50941673,      -1.642870417,     0.09133389985,      -13.87310525,     -0.9710321824,                 0,                 0,                 0,      0.2206314057,      -13.87310525,     -0.9710321824,                 0,     0.06999385972,      0.1675781652,       -1.11698495,     -0.9485397427,     -0.8975935443,       -1.14536198,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          49,              0.26,       -6.79842751,      -4.635266774,      -4.657886771,      -1.336966505,     0.09133389985,      -8.175397896,      0.6242206177,                 0,                 0,                 0,     -0.1712439956,      -8.175397896,      0.6242206177,                 0,     -0.0763535458,      0.2156622158,     -0.8789762975,      -1.136307291,      -1.086445523,     -0.8741581152,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,          49,              0.28,      -6.715378885,      -4.860213096,      -5.003266917,      -1.254598425,     0.09133389985,       3.338762771,       1.686928995,                 0,                 0,                 0,      -0.433556148,       3.338762771,       1.686928995,                 0,      0.5052557222,      0.2093127506,     -0.8336520156,      -1.391627732,      -1.464891996,     -0.8298168999,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,          49,               0.3,      -6.897454054,       -4.62961617,      -4.695832048,      -1.441914444,     0.09133389985,       12.38592301,       1.838594464,                 0,                 0,                 0,     -0.4723154009,       12.38592301,       1.838594464,                 0,      0.1484422649,      0.2020169091,      -1.047699961,      -1.188490625,      -1.187295745,      -1.049278997,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,          49,              0.32,      -7.100510963,      -4.634150225,      -4.677627531,      -1.651408594,     0.09133389985,       13.85050204,      0.9965249259,                 0,                 0,                 0,     -0.2663356133,       13.85050204,      0.9965249259,                 0,     0.07194865014,      0.1854092749,      -1.274642415,      -1.217460966,      -1.196814054,      -1.282764808,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,          49,              0.34,      -6.882772891,      -4.830902834,      -4.920034339,      -1.420523346,     0.09133389985,       8.247508144,     -0.2023888737,                 0,                 0,                 0,     0.02773832187,       8.247508144,     -0.2023888737,                 0,    -0.02453939665,      0.1675781653,       -1.07848062,      -1.434062229,      -1.463565913,      -1.073553979,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,          49,              0.36,      -6.888152276,      -4.843626551,      -5.019491423,      -1.427833887,     0.09133389985,      0.2947907889,       -0.81999146,                 0,                 0,                 0,      0.1797873486,      0.2947907889,       -0.81999146,                 0,      -2.781604754,      0.1779587702,      -1.105682557,       -1.46528579,      -1.586036629,       -1.10278976,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,          49,              0.38,      -7.093692527,      -4.747793106,       -4.78467741,      -1.642997631,     0.09133389985,      -4.961611302,     -0.5395330765,                 0,                 0,                 0,      0.1106263076,      -4.961611302,     -0.5395330765,                 0,      0.1087415042,      0.1896070409,      -1.330487844,      -1.388403385,      -1.371906856,      -1.337271591,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,          49,               0.4,      -7.103557817,      -4.842934163,      -4.817497718,      -1.645033693,     0.09133389985,      -5.032912977,      0.4532740419,                 0,                 0,                 0,     -0.1344209033,      -5.032912977,      0.4532740419,                 0,     -0.0900619669,      0.1950409259,      -1.353120041,       -1.49712606,       -1.41678473,      -1.352141496,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,          49,              0.42,      -6.998057286,      -4.995597931,      -5.054995026,      -1.536859613,     0.09133389985,     -0.7690863059,       1.352405807,                 0,                 0,                 0,     -0.3568581327,     -0.7690863059,       1.352405807,                 0,      -1.758457791,      0.2353383651,      -1.250964229,       -1.65082599,      -1.654128523,      -1.247489374,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,          49,              0.44,      -7.075349041,      -4.897111345,      -5.027384784,      -1.617771253,     0.09133389985,        4.40650542,       1.617222425,                 0,                 0,                 0,     -0.4227498955,        4.40650542,       1.617222425,                 0,      0.3670079282,      0.2212185369,      -1.325108343,      -1.544952937,      -1.623283303,      -1.325613672,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,          49,              0.46,      -7.224618179,      -4.885589344,      -4.936259911,      -1.769144764,     0.09133389985,        7.12349934,       1.191788165,                 0,                 0,                 0,     -0.3176385159,        7.12349934,       1.191788165,                 0,      0.1673037518,      0.2212185369,      -1.474590416,      -1.533153471,      -1.540037614,      -1.477634748,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
