"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,          49,                 0,      -6.762553196,      -4.135919355,      -4.949124104,      -1.315668497,     0.03044463328,       96.31082612,    0.001823200196,                 0,                 0,                 0,      -0.161091927,       96.31082612,    0.001823200196,                 0,   1.893037646e-05,      0.1445000979,     -0.7848482905,      -2.046360138,      -1.861986349,     -0.8004876357,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,          49,              0.02,      -6.911121939,      -4.375773308,      -4.991885051,      -1.456080064,     0.03044463328,       70.94357603,     0.01748475645,                 0,                 0,                 0,     -0.1271323147,       70.94357603,     0.01748475645,                 0,   0.0002464600381,       0.144500098,     -0.1456866708,      -0.233709795,    -0.05208359483,     -0.1378239846,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,          49,              0.04,      -7.092660953,      -4.534630134,      -5.021927209,      -1.635209578,     0.03044463328,         62.845869,    0.009176659818,                 0,                 0,                 0,    -0.09999909704,         62.845869,    0.009176659818,                 0,   0.0001460185047,       0.144500098,     -0.1789528662,     -0.1557654203,    -0.03781215199,     -0.1766146724,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,          49,              0.06,      -7.386372727,      -4.572597539,      -4.974756548,      -1.928482151,     0.03044463328,       59.45809401,   -0.007229580314,                 0,                 0,                 0,    -0.07566389967,       59.45809401,   -0.007229580314,                 0,  -0.0001215911885,       0.144500098,     -0.2981517054,    -0.05511594936,     -0.0622785319,      -0.297876243,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,          49,              0.08,      -7.374651634,      -4.541102961,      -4.939797006,      -1.927228402,     0.03044463328,       56.44933895,    -0.06486435417,                 0,                 0,                 0,    -0.04788597136,       56.44933895,    -0.06486435417,                 0,   -0.001149071989,      0.1445000979,     -0.0729639665,    -0.03581008787,     -0.1973714419,    -0.08460519939,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,          49,               0.1,       -7.18137038,      -4.545795364,      -4.932185504,      -1.731697934,     0.03044463328,       49.21431883,     -0.2198580158,                 0,                 0,                 0,   -0.003739007793,       49.21431883,     -0.2198580158,                 0,   -0.004467358709,      0.1445000979,                 0,    -0.08382766999,     -0.2502687336,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,          49,              0.12,       -7.04964027,      -4.636360925,      -5.024110638,      -1.585022934,     0.03044463328,        36.2882109,     -0.4273597784,                 0,                 0,                 0,     0.05141963257,        36.2882109,     -0.4273597784,                 0,    -0.01177682139,      0.1445000979,                 0,     -0.1782175451,     -0.3505343385,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,          49,              0.14,       -6.97143886,      -4.844280335,      -5.257920878,      -1.503800381,     0.03044463328,       20.94740436,     -0.6074612804,                 0,                 0,                 0,     0.09965741048,       20.94740436,     -0.6074612804,                 0,     -0.0289993581,      0.1445000979,    -0.01516721737,     -0.3479314452,     -0.5777614348,    -0.01123408128,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,          49,              0.16,       -6.94465544,      -5.173605099,      -5.408605906,      -1.481942369,     0.03044463328,       7.010171326,     -0.7180800605,                 0,                 0,                 0,      0.1306405644,       7.010171326,     -0.7180800605,                 0,     -0.1024340244,      0.1445000979,    -0.06646129494,     -0.6298141887,     -0.7334012504,    -0.06951617512,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,          49,              0.18,      -6.961627537,      -5.197466486,      -5.216366883,      -1.505787242,     0.03044463328,      -3.732508764,     -0.7493467599,                 0,                 0,                 0,      0.1420144584,      -3.732508764,     -0.7493467599,                 0,      0.2007622238,      0.1445000979,     -0.1246124373,     -0.6548823997,     -0.5771736088,     -0.1314309812,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         10,          49,               0.2,      -7.015433445,       -5.00778225,      -5.072772795,      -1.567237945,     0.03044463328,      -11.11505693,     -0.7087546605,                 0,                 0,                 0,      0.1357376231,      -11.11505693,     -0.7087546605,                 0,     0.06376527488,      0.1445000979,     -0.1938851641,     -0.5095944981,     -0.4847424587,     -0.2048966329,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         11,          49,              0.22,      -7.105000827,      -4.900378377,      -4.991025463,      -1.667742186,     0.03044463328,      -15.53474492,     -0.6042853975,                 0,                 0,                 0,      0.1137244141,      -15.53474492,     -0.6042853975,                 0,     0.03889895847,      0.1445000979,     -0.2873048213,     -0.4555888279,     -0.4557480404,     -0.3071896271,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         12,          49,              0.24,      -7.234076205,      -4.847126112,      -4.948665981,      -1.817201536,     0.03044463328,      -17.31567227,     -0.4523867661,                 0,                 0,                 0,     0.07974601099,      -17.31567227,     -0.4523867661,                 0,     0.02612585634,      0.1445000979,     -0.4210183026,     -0.4515713091,     -0.4630184569,     -0.4606839299,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          49,              0.26,      -7.401308168,       -4.83651787,      -4.943437151,      -2.027556082,     0.03044463328,      -16.66516446,     -0.2564925533,                 0,                 0,                 0,     0.03431849435,      -16.66516446,     -0.2564925533,                 0,     0.01539094042,      0.1445000979,     -0.6018033886,      -0.483772987,     -0.5035822607,     -0.6851557166,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
