"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -2.924964364,     -0.4761926385,      -1.615104866,      -1.332562282,       2.611525906,       38143.84379,     0.07202420325,      0.2090215637,    -0.03004117675,      0.1161849809,    -0.08290637534,    -0.03785890331,     0.06076358552,    -0.03004117675,      0.2125683104,       2.902101713
          0,           0,           1,      -2.973510282,     -0.4801366269,      -1.422163265,     -0.6267697003,       2.563785634,       38143.84379,       0.124603982,      0.3668630625,    -0.05189191476,      0.2021244864,     -0.1392832375,    -0.06392322948,      0.1048425491,    -0.05189191476,      0.3729915533,       2.944232253
          0,           0,           2,      -2.782339973,    -0.07484856668,     -0.2337184036,    -0.06070110354,       2.759857453,       38143.84379,      0.1070173407,      0.2898974643,    -0.04105851007,      0.1581624484,    -0.09904659618,    -0.05118627688,      0.0913895369,    -0.04105851007,      0.2951968895,       2.708883087
          0,           0,           3,      -2.455783198,      0.1983379196,      0.2242241976,      0.2633167156,       3.080528102,       38143.84379,     0.06104036841,      0.2306360302,    -0.01538984851,      0.1243105972,    -0.07029416095,    -0.02338176148,     0.04864159489,    -0.01538984851,       0.233565623,       3.778418057
          0,           0,           4,      -2.347027041,      0.2276877712,      0.3104151597,      0.3578025299,       3.195755261,       38143.84379,     0.02717272094,       0.223078792,    0.006386561448,      0.1194093575,    -0.06018814932,  -0.0004177701981,     0.01522565469,    0.006386561448,      0.2242112478,         8.2096597
          0,           0,           5,      -2.253575283,      0.2916441716,      0.3535925866,      0.4425749557,       3.306566776,       38143.84379,     0.01496241251,      0.2430729827,     0.01428123037,      0.1299633022,     -0.0614926962,     0.01033614275,    0.001965432266,     0.01428123037,      0.2435251235,       16.24557421
          0,           0,           6,      -2.224899224,      0.3046229881,      0.3769968079,      0.4778666335,       3.339849291,       38143.84379,      0.0163900757,      0.2485955922,     0.01322950219,       0.133069076,    -0.06291688493,     0.01004044658,    0.003096253643,     0.01322950219,      0.2491160698,       15.16744625
          0,           0,           7,      -2.266741218,      0.2288184049,      0.3606729252,      0.4387344526,       3.276414447,       38143.84379,     0.01454545557,      0.2578529103,     0.01382934501,      0.1376544525,    -0.06442254884,     0.01230580404,   0.0007600923253,     0.01382934501,      0.2582617197,       17.72738633
          0,           0,           8,      -2.264387968,      0.1250324807,      0.3268258656,      0.3822065424,       3.261084021,       38143.84379,     0.01065241341,      0.2696910222,     0.01501101384,      0.1431845912,    -0.06585754898,     0.01552931025,   -0.003759337477,     0.01501101384,      0.2698751355,       25.31736347
          0,           0,           9,      -2.262013829,     0.08276165244,      0.2833332503,      0.3365644715,       3.278723282,       38143.84379,    0.007953891118,      0.2803794269,      0.0158023028,      0.1479689181,    -0.06663087018,     0.01743586768,   -0.007024577273,      0.0158023028,      0.2804042488,       35.25059908
