   "CD(airfoil)"  ,   "CL(airfoil)"  ,  "CSF(airfoil)"  ,  "CMx(airfoil)"  ,  "CMy(airfoil)"  ,  "CMz(airfoil)"  ,  "CFx(airfoil)"  ,  "CFy(airfoil)"  ,  "CFz(airfoil)"  ,  "CEff(airfoil)" 
      0.0125393058,       1.089371243,                 0,                 0,                 0,   -0.003350912309,     -0.1768185256,       1.074998674,                 0,       86.87651938
     0.01253925188,       1.089369636,                 0,                 0,                 0,   -0.003351263085,     -0.1768182996,       1.074997081,                 0,       86.87676474
     0.01253917666,        1.08936765,                 0,                 0,                 0,    -0.00335169896,     -0.1768180288,       1.074995112,                 0,       86.87712754
     0.01253907184,       1.089365201,                 0,                 0,                 0,   -0.003352232926,     -0.1768177067,       1.074992682,                 0,       86.87765846
      0.0125389219,        1.08936217,                 0,                 0,                 0,   -0.003352894109,     -0.1768173282,       1.074989672,                 0,       86.87845568
     0.01253871337,       1.089358437,                 0,                 0,                 0,   -0.003353714209,     -0.1768168853,        1.07498596,                 0,       86.87960284
     0.01253869062,       1.089358054,                 0,                 0,                 0,   -0.003353801009,     -0.1768168412,       1.074985579,                 0,        86.8797299
     0.01253866072,       1.089357584,                 0,                 0,                 0,   -0.003353911807,     -0.1768167889,        1.07498511,                 0,       86.87989952
     0.01253862478,       1.089357019,                 0,                 0,                 0,   -0.003354041852,     -0.1768167263,       1.074984547,                 0,       86.88010351
     0.01253858424,       1.089356354,                 0,                 0,                 0,   -0.003354186315,     -0.1768166507,       1.074983885,                 0,       86.88033137
     0.01253853823,       1.089355568,                 0,                 0,                 0,   -0.003354349263,     -0.1768165596,       1.074983104,                 0,       86.88058752
     0.01253848532,       1.089354638,                 0,                 0,                 0,   -0.003354536969,     -0.1768164502,       1.074982179,                 0,       86.88088001
     0.01253842526,        1.08935354,                 0,                 0,                 0,   -0.003354752336,     -0.1768163187,       1.074981087,                 0,       86.88120857
     0.01253835745,       1.089352239,                 0,                 0,                 0,   -0.003355001347,     -0.1768161594,       1.074979793,                 0,       86.88157465
     0.01253828023,       1.089350681,                 0,                 0,                 0,   -0.003355295012,      -0.176815965,       1.074978246,                 0,       86.88198551
     0.01253819346,       1.089348815,                 0,                 0,                 0,   -0.003355640619,     -0.1768157265,       1.074976394,                 0,       86.88243799
      0.0125380981,       1.089346598,                 0,                 0,                 0,    -0.00335604364,     -0.1768154353,       1.074974193,                 0,       86.88292189
     0.01253799174,       1.089343974,                 0,                 0,                 0,   -0.003356524192,     -0.1768150844,        1.07497159,                 0,       86.88344964
     0.01253786967,       1.089340871,                 0,                 0,                 0,   -0.003357119988,     -0.1768146658,       1.074968514,                 0,       86.88404808
     0.01253785698,       1.089340558,                 0,                 0,                 0,   -0.003357180665,      -0.176814624,       1.074968203,                 0,       86.88411104
     0.01253784093,        1.08934018,                 0,                 0,                 0,   -0.003357255972,     -0.1768145741,       1.074967828,                 0,       86.88419211
     0.01253782153,       1.089339725,                 0,                 0,                 0,    -0.00335734699,     -0.1768145142,       1.074967377,                 0,       86.88429026
     0.01253779923,       1.089339183,                 0,                 0,                 0,   -0.003357454499,     -0.1768144421,       1.074966839,                 0,       86.88440158
     0.01253777388,       1.089338538,                 0,                 0,                 0,   -0.003357582175,      -0.176814355,       1.074966199,                 0,       86.88452576
     0.01253774554,       1.089337774,                 0,                 0,                 0,   -0.003357733863,     -0.1768142502,       1.074965442,                 0,       86.88466123
     0.01253771559,       1.089336877,                 0,                 0,                 0,   -0.003357909827,     -0.1768141241,       1.074964554,                 0,       86.88479729
     0.01253768588,       1.089335832,                 0,                 0,                 0,   -0.003358110753,     -0.1768139718,       1.074963519,                 0,       86.88491981
     0.01253765679,       1.089334605,                 0,                 0,                 0,   -0.003358343815,     -0.1768137874,       1.074962306,                 0,       86.88502355
     0.01253762731,        1.08933315,                 0,                 0,                 0,   -0.003358619977,     -0.1768135638,       1.074960868,                 0,       86.88511179
     0.01253759535,       1.089331419,                 0,                 0,                 0,   -0.003358949605,     -0.1768132947,       1.074959158,                 0,       86.88519516
     0.01253755436,       1.089329352,                 0,                 0,                 0,   -0.003359349535,     -0.1768129761,       1.074957115,                 0,       86.88531433
     0.01253749042,       1.089326857,                 0,                 0,                 0,   -0.003359851944,     -0.1768126059,       1.074954647,                 0,        86.8855585
     0.01253738627,       1.089323814,                 0,                 0,                 0,   -0.003360497958,       -0.17681218,       1.074951632,                 0,       86.88603752
     0.01253737503,       1.089323506,                 0,                 0,                 0,    -0.00336056365,     -0.1768121376,       1.074951327,                 0,       86.88609088
     0.01253736027,       1.089323132,                 0,                 0,                 0,    -0.00336064472,     -0.1768120872,       1.074950956,                 0,       86.88616333
     0.01253734171,       1.089322681,                 0,                 0,                 0,   -0.003360743237,      -0.176812027,       1.074950508,                 0,       86.88625593
     0.01253731903,       1.089322136,                 0,                 0,                 0,   -0.003360861896,     -0.1768119549,       1.074949968,                 0,       86.88636971
     0.01253729143,       1.089321483,                 0,                 0,                 0,   -0.003361004932,     -0.1768118685,       1.074949319,                 0,       86.88650886
     0.01253725869,       1.089320704,                 0,                 0,                 0,   -0.003361174178,     -0.1768117656,       1.074948547,                 0,       86.88667363
     0.01253722165,       1.089319787,                 0,                 0,                 0,   -0.003361368085,     -0.1768116428,       1.074947637,                 0,       86.88685713
     0.01253718024,       1.089318704,                 0,                 0,                 0,   -0.003361588971,     -0.1768114955,       1.074946563,                 0,       86.88705775
     0.01253713185,       1.089317405,                 0,                 0,                 0,   -0.003361847239,     -0.1768113176,       1.074945276,                 0,       86.88728956
     0.01253707257,       1.089315829,                 0,                 0,                 0,   -0.003362154773,     -0.1768111023,       1.074943713,                 0,       86.88757465
     0.01253699744,       1.089313908,                 0,                 0,                 0,   -0.003362522979,     -0.1768108427,       1.074941809,                 0,       86.88794215
