"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,         126,      -3.844410217,      -126.6330455
          0,           0,         127,      -3.837557886,      -126.6390375
          0,           0,         128,      -3.826276416,      -126.6447897
          0,           0,         129,      -3.830402368,      -126.6507364
          0,           0,         130,      -3.836764911,      -126.6575552
          0,           0,         131,      -3.834883303,      -126.6644221
          0,           0,         132,      -3.832316479,       -126.670987
          0,           0,         133,      -3.827538538,      -126.6778212
          0,           0,         134,      -3.821075807,      -126.6843827
          0,           0,         135,      -3.814121222,      -126.6908285
          0,           0,         136,      -3.807650509,      -126.6971529
          0,           0,         137,      -3.802383094,      -126.7031922
          0,           0,         138,      -3.798815433,      -126.7089938
          0,           0,         139,      -3.797254279,       -126.714497
          0,           0,         140,      -3.797892137,      -126.7196734
          0,           0,         141,      -3.800843906,      -126.7245296
          0,           0,         142,      -3.806165768,      -126.7290422
          0,           0,         143,      -3.813861799,      -126.7332134
          0,           0,         144,      -3.823866355,      -126.7370462
          0,           0,         145,      -3.836073734,      -126.7405437
          0,           0,         146,      -3.850360445,      -126.7438807
          0,           0,         147,      -3.877239562,      -126.7474672
          0,           0,         148,      -3.896924401,       -126.750476
          0,           0,         149,      -3.911378476,       -126.753008
          0,           0,         150,      -3.929221025,      -126.7556265
          0,           0,         151,      -3.951377496,      -126.7577465
          0,           0,         152,      -3.976875132,      -126.7597433
          0,           0,         153,      -4.004798145,      -126.7615749
          0,           0,         154,      -4.034458512,      -126.7631714
          0,           0,         155,      -4.065387444,      -126.7646642
          0,           0,         156,      -4.097248111,      -126.7660199
          0,           0,         157,      -4.129812392,      -126.7672711
          0,           0,         158,      -4.162931303,      -126.7684541
          0,           0,         159,      -4.196493178,      -126.7695689
          0,           0,         160,      -4.230426904,      -126.7706391
          0,           0,         161,      -4.264660626,      -126.7716765
          0,           0,         162,      -4.299090571,      -126.7726893
          0,           0,         163,      -4.333571744,      -126.7736901
          0,           0,         164,      -4.367917395,      -126.7746852
          0,           0,         165,      -4.401907085,      -126.7756812
          0,           0,         166,      -4.435290412,      -126.7766836
          0,           0,         167,      -4.467787855,      -126.7776954
          0,           0,         168,       -4.49909843,      -126.7787195
          0,           0,         169,      -4.528918583,      -126.7797571
          0,           0,         170,      -4.556952185,      -126.7808089
          0,           0,         171,      -4.582933104,      -126.7818746
          0,           0,         172,      -4.606653757,      -126.7829534
          0,           0,         173,      -4.627974762,       -126.784044
          0,           0,         174,      -4.646835628,      -126.7851445
          0,           0,         175,      -4.663274367,      -126.7862528
          0,           0,         176,      -4.677423254,      -126.7873664
          0,           0,         177,      -4.689486835,      -126.7884829
          0,           0,         178,      -4.699724268,      -126.7895995
          0,           0,         179,      -4.711923634,      -126.7907376
          0,           0,         180,      -4.731199733,      -126.7918906
          0,           0,         181,      -4.745022404,        -126.79303
          0,           0,         182,      -4.753497043,      -126.7941758
          0,           0,         183,      -4.761837034,       -126.795308
          0,           0,         184,        -4.7713873,      -126.7964169
          0,           0,         185,      -4.779016593,      -126.7975243
          0,           0,         186,      -4.785623636,      -126.7986071
          0,           0,         187,      -4.789783121,      -126.7996827
          0,           0,         188,      -4.789416683,      -126.8007761
          0,           0,         189,      -4.788171233,       -126.801823
          0,           0,         190,      -4.786963491,      -126.8028741
          0,           0,         191,      -4.784633583,      -126.8039025
          0,           0,         192,      -4.781328892,      -126.8049102
          0,           0,         193,      -4.777277141,      -126.8059041
          0,           0,         194,      -4.772725345,      -126.8068744
          0,           0,         195,      -4.767932638,      -126.8078247
          0,           0,         196,      -4.763067334,      -126.8087541
          0,           0,         197,      -4.758253272,      -126.8096601
          0,           0,         198,      -4.753596778,       -126.810544
          0,           0,         199,      -4.749172893,       -126.811404
          0,           0,         200,      -4.745083809,      -126.8122394
          0,           0,         201,      -4.741425193,      -126.8130498
          0,           0,         202,      -4.738288926,      -126.8138341
          0,           0,         203,      -4.735749103,      -126.8145917
          0,           0,         204,      -4.733880822,      -126.8153219
          0,           0,         205,      -4.732755891,       -126.816024
          0,           0,         206,      -4.732436565,      -126.8166975
          0,           0,         207,      -4.732979852,      -126.8173419
          0,           0,         208,      -4.734433984,      -126.8179568
          0,           0,         209,      -4.736841586,      -126.8185421
          0,           0,         210,      -4.740240131,      -126.8190977
          0,           0,         211,      -4.744660572,      -126.8196236
          0,           0,         212,       -4.75012892,        -126.82012
          0,           0,         213,      -4.756663162,      -126.8205872
          0,           0,         214,      -4.764275792,      -126.8210257
          0,           0,         215,      -4.772975199,      -126.8214363
          0,           0,         216,      -4.782750108,      -126.8218195
          0,           0,         217,      -4.793636205,      -126.8221765
          0,           0,         218,      -4.805605604,      -126.8225081
          0,           0,         219,       -4.81861605,      -126.8228156
          0,           0,         220,        -4.8326555,         -126.8231
          0,           0,         221,      -4.847709663,      -126.8233628
          0,           0,         222,      -4.863750775,      -126.8236052
          0,           0,         223,      -4.880738762,      -126.8238287
          0,           0,         224,      -4.898624879,      -126.8240345
          0,           0,         225,      -4.917351663,      -126.8242243
          0,           0,         226,      -4.936849643,      -126.8243993
          0,           0,         227,      -4.957040499,      -126.8245609
          0,           0,         228,      -4.977824019,      -126.8247105
          0,           0,         229,      -4.999089598,      -126.8248494
          0,           0,         230,      -5.020709659,      -126.8249789
