"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,   "mdot_outlet"  
          0,           0,         125,      -2.035986769,      -325.5572003
          0,           0,         126,      -1.969866179,       -325.556815
          0,           0,         127,      -1.841819545,      -325.5684022
          0,           0,         128,      -1.752954434,      -325.5900097
          0,           0,         129,       -1.73619866,      -325.6018569
          0,           0,         130,      -1.764018352,      -325.5985043
          0,           0,         131,      -1.819050519,      -325.5931881
          0,           0,         132,      -1.875621101,      -325.5806367
          0,           0,         133,      -1.911767535,      -325.5655317
          0,           0,         134,      -1.906140767,      -325.5590045
          0,           0,         135,      -1.860073888,      -325.5657098
          0,           0,         136,      -1.804832656,      -325.5815566
          0,           0,         137,      -1.764619132,      -325.6013737
          0,           0,         138,      -1.769776325,      -325.6253462
          0,           0,         139,      -1.817288837,      -325.6497063
          0,           0,         140,      -1.923794728,      -325.6663687
          0,           0,         141,       -2.04409386,      -325.6718123
          0,           0,         142,      -2.062812996,      -325.6674113
          0,           0,         143,      -1.872330516,      -325.6539373
          0,           0,         144,      -1.714747604,      -325.6424397
          0,           0,         145,      -1.678981342,      -325.6307833
          0,           0,         146,        -1.6531742,      -325.6104688
          0,           0,         147,      -1.669033586,      -325.5769692
          0,           0,         148,      -1.728569005,      -325.5541313
          0,           0,         149,      -1.820104378,      -325.5523667
          0,           0,         150,      -1.872793428,      -325.5701457
          0,           0,         151,      -1.851088187,      -325.6044405
          0,           0,         152,      -1.784723245,      -325.6414098
          0,           0,         153,      -1.724758457,      -325.6676043
          0,           0,         154,      -1.697302326,      -325.6812256
          0,           0,         155,      -1.704948778,      -325.6849783
          0,           0,         156,      -1.750246035,      -325.6816429
          0,           0,         157,      -1.798674004,      -325.6690429
          0,           0,         158,      -1.735283641,      -325.6393868
          0,           0,         159,      -1.661320799,       -325.592517
          0,           0,         160,      -1.654503436,      -325.5514155
          0,           0,         161,      -1.710831568,      -325.5309518
          0,           0,         162,      -1.802895149,      -325.5357466
          0,           0,         163,      -1.847634027,      -325.5736355
          0,           0,         164,      -1.820952105,      -325.6246874
          0,           0,         165,      -1.704352108,      -325.6641346
          0,           0,         166,      -1.662805652,      -325.6960034
          0,           0,         167,      -1.760692874,      -325.7087444
          0,           0,         168,      -1.840131846,      -325.6890113
          0,           0,         169,      -1.609145585,      -325.6457799
          0,           0,         170,      -1.430922706,      -325.6161778
          0,           0,         171,      -1.484023587,         -325.6169
          0,           0,         172,      -1.597788493,      -325.6272987
          0,           0,         173,       -1.76898593,      -325.6307542
          0,           0,         174,       -1.96752316,      -325.6258827
          0,           0,         175,      -2.123412036,      -325.6198014
