"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         10,          49,               0.2,      -6.662068749,      -4.519458824,      -4.522296491,      -1.201322601,      0.1217785331,      -11.17387315,     0.04962983994,                 0,                 0,                 0,    -0.02111273037,      -11.17387315,     0.04962983994,                 0,   -0.004441596862,      0.2133094894,     -0.7427578652,      -1.028901372,     -0.9403587418,     -0.7370790916,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         11,          49,              0.22,      -6.591612917,      -4.635146657,      -4.738488032,       -1.12994807,      0.1217785331,       3.283342404,       1.552666779,                 0,                 0,                 0,     -0.3928726685,       3.283342404,       1.552666779,                 0,      0.4728921286,      0.2108379319,     -0.7088912167,      -1.171411061,      -1.187198387,     -0.7024934621,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         12,          49,              0.24,      -6.883201828,      -4.492617585,      -4.534804032,      -1.428254287,      0.1217785331,       14.00032792,       1.661887982,                 0,                 0,                 0,     -0.4215204595,       14.00032792,       1.661887982,                 0,      0.1187035041,      0.1872690947,      -1.029713942,      -1.050986725,      -1.008288368,      -1.030047591,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          49,              0.26,      -6.764802731,      -4.654772114,      -4.709427809,      -1.304180574,      0.1217785331,       12.08954346,      0.3616972871,                 0,                 0,                 0,     -0.1027210621,       12.08954346,      0.3616972871,                 0,     0.02991819239,      0.1779587702,     -0.9277617676,      -1.232024389,      -1.205880787,     -0.9222395031,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,          49,              0.28,      -6.744883841,       -4.67033255,      -4.818876253,      -1.282882844,      0.1217785331,       2.119037729,     -0.7445515789,                 0,                 0,                 0,      0.1703238738,       2.119037729,     -0.7445515789,                 0,     -0.3513630591,      0.1896070409,     -0.9256473636,      -1.260309764,      -1.331748971,     -0.9188062674,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,          49,               0.3,       -6.94329146,      -4.661543528,      -4.639280282,      -1.487703885,      0.1217785331,      -5.493480755,     -0.4976134595,                 0,                 0,                 0,      0.1095979262,      -5.493480755,     -0.4976134595,                 0,      0.0905825435,      0.1925693684,      -1.136469894,      -1.260574049,       -1.16417181,      -1.136120201,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,          49,              0.32,      -6.866207435,      -4.806594323,      -4.770705257,      -1.405204362,      0.1217785331,      -4.753602957,      0.8052389394,                 0,                 0,                 0,     -0.2127988708,      -4.753602957,      0.8052389394,                 0,     -0.1693954978,      0.2323760376,      -1.065579437,      -1.410805975,      -1.304516021,      -1.059808331,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,          49,              0.34,      -6.891921516,      -4.763067927,      -4.849401865,      -1.431509254,      0.1217785331,       1.918953246,       1.775771253,                 0,                 0,                 0,      -0.454324752,       1.918953246,       1.775771253,                 0,      0.9253853666,      0.2212185369,      -1.096468507,      -1.369351653,      -1.389054075,      -1.091266016,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,          49,              0.36,      -7.001834711,      -4.808816891,      -4.794068731,        -1.5419992,      0.1217785331,        7.14972419,       1.677926991,                 0,                 0,                 0,     -0.4307830803,        7.14972419,       1.677926991,                 0,      0.2346841566,      0.1998652099,      -1.209453251,      -1.417114733,       -1.33841776,      -1.204688535,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,          49,              0.38,      -6.989693418,       -4.89833595,      -4.908037138,      -1.529196439,      0.1217785331,       6.741584239,      0.7302984507,                 0,                 0,                 0,     -0.1959106979,       6.741584239,      0.7302984507,                 0,      0.1083274235,      0.2022599514,      -1.196679533,       -1.50656156,      -1.451764765,      -1.191164356,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,          49,               0.4,      -7.040816421,       -4.84506249,      -4.949444132,      -1.580983159,      0.1217785331,       2.253455359,    -0.07716473829,                 0,                 0,                 0,    0.005081145019,       2.253455359,    -0.07716473829,                 0,    -0.03424285198,      0.2022599514,       -1.23928647,      -1.444004284,      -1.481536601,      -1.234491926,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,          49,              0.42,      -7.075930133,      -4.996169947,       -4.90753141,      -1.615661258,      0.1217785331,      -1.676315061,    -0.05097029965,                 0,                 0,                 0,  -0.0008639866849,      -1.676315061,    -0.05097029965,                 0,     0.03040615743,      0.2022599514,       -1.25601241,      -1.573581894,      -1.421329205,      -1.251048737,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,          49,              0.44,      -7.118804541,      -5.025482301,      -4.953723746,        -1.6588014,      0.1217785331,      -1.818973248,      0.5736933348,                 0,                 0,                 0,     -0.1559383008,      -1.818973248,      0.5736933348,                 0,     -0.3153940474,      0.2125181205,      -1.279078863,      -1.579674748,      -1.454977487,      -1.274767369,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,          49,              0.46,      -7.166223152,       -4.97883508,      -5.028653941,      -1.706385697,      0.1217785331,       1.136413715,       1.026111625,                 0,                 0,                 0,     -0.2686125441,       1.136413715,       1.026111625,                 0,      0.9029384383,       0.211692712,      -1.313337795,      -1.522088129,      -1.523198993,      -1.309240104,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,          49,              0.48,      -7.164972959,      -5.159809204,      -5.052209732,      -1.703337947,      0.1217785331,       3.940243157,      0.7520504971,                 0,                 0,                 0,     -0.2006923403,       3.940243157,      0.7520504971,                 0,      0.1908639815,       0.204731509,      -1.297366223,      -1.693976116,      -1.527986078,      -1.291176843,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,          49,               0.5,      -7.265985918,      -5.099208991,      -5.070999723,      -1.807317279,      0.1217785331,       4.300642952,    -0.08641028175,                 0,                 0,                 0,    0.007816940383,       4.300642952,    -0.08641028175,                 0,    -0.02009241007,      0.2181648588,      -1.367981503,      -1.605071863,      -1.509342305,      -1.364891937,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,          49,              0.52,      -7.288746081,      -5.105832945,      -5.146872382,      -1.829494645,      0.1217785331,        2.42627785,     -0.8158730119,                 0,                 0,                 0,      0.1893783713,        2.42627785,     -0.8158730119,                 0,     -0.3362652846,      0.2181648588,      -1.347839688,      -1.566487504,      -1.551074852,      -1.345107549,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,          49,              0.54,      -7.274030283,      -5.348024515,      -5.141060221,      -1.812826801,      0.1217785331,      0.3529256524,     -0.9015774469,                 0,                 0,                 0,      0.2107274721,      0.3529256524,     -0.9015774469,                 0,      -2.554581796,      0.2156933012,      -1.297493619,      -1.772754644,      -1.528481124,      -1.293451803,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,          49,              0.56,      -7.392145852,      -5.238895829,       -5.13933535,      -1.933423588,      0.1217785331,     -0.1095015331,     -0.3886245527,                 0,                 0,                 0,     0.08304112381,     -0.1095015331,     -0.3886245527,                 0,       3.549032983,      0.2156933012,      -1.389408977,      -1.645176892,      -1.503987868,      -1.387476747,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,          49,              0.58,      -7.380098963,      -5.275827334,      -5.251646323,      -1.919305873,      0.1217785331,       1.101244929,      0.2496199367,                 0,                 0,                 0,    -0.07578970287,       1.101244929,      0.2496199367,                 0,      0.2266706799,      0.2181648588,       -1.34139356,      -1.656151309,       -1.57796065,       -1.33756298,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,          49,               0.6,      -7.391758766,      -5.449559479,      -5.261814468,      -1.930321666,      0.1217785331,       2.646629645,      0.5701562883,                 0,                 0,                 0,     -0.1553204522,       2.646629645,      0.5701562883,                 0,      0.2154273037,      0.2181648588,      -1.303450609,      -1.784328886,      -1.558093172,      -1.300248409,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,          49,              0.62,      -7.537932826,      -5.320951802,      -5.264224932,      -2.081020192,      0.1217785331,       3.158924889,      0.5536001979,                 0,                 0,                 0,     -0.1507460024,       3.158924889,      0.5536001979,                 0,      0.1752495603,      0.2321952127,      -1.403658624,      -1.614061953,      -1.544222353,      -1.405395055,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,          49,              0.64,       -7.50446004,      -5.388467579,      -5.355723639,      -2.044490439,      0.1217785331,       2.412854635,      0.5371252823,                 0,                 0,                 0,     -0.1461394025,       2.412854635,      0.5371252823,                 0,      0.2226098807,      0.2321952127,      -1.334114106,      -1.662236779,      -1.614531792,       -1.33217768,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,          49,              0.66,      -7.512260014,      -5.537792987,        -5.3338376,      -2.050991135,      0.1217785331,       1.298650084,      0.7986510281,                 0,                 0,                 0,     -0.2107782864,       1.298650084,      0.7986510281,                 0,      0.6149855437,      0.2297236552,      -1.298410548,      -1.790573838,      -1.573715442,      -1.295682741,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,          49,              0.68,       -7.61965083,      -5.475401511,      -5.350005717,      -2.160633121,      0.1217785331,      0.8799317193,       1.270484157,                 0,                 0,                 0,      -0.327744223,      0.8799317193,       1.270484157,                 0,       1.443844026,      0.2442054099,      -1.350208906,      -1.695931967,      -1.586643722,      -1.350726368,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,          49,               0.7,      -7.609546486,      -5.534726554,      -5.447870161,      -2.148788415,      0.1217785331,       1.453319582,       1.632178872,                 0,                 0,                 0,     -0.4171518212,       1.453319582,       1.632178872,                 0,       1.123069483,      0.2466769675,      -1.292571127,      -1.738525205,       -1.68595811,      -1.291201896,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,          49,              0.72,      -7.629237335,      -5.626583366,      -5.456675699,      -2.167846508,      0.1217785331,       2.394775057,       1.570174322,                 0,                 0,                 0,     -0.4009059267,       2.394775057,       1.570174322,                 0,      0.6556667264,      0.2614971013,      -1.273007484,      -1.828856278,       -1.69697556,      -1.271171368,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,          49,              0.74,      -7.694440893,      -5.574685087,      -5.488692913,      -2.234896547,      0.1217785331,       2.817312763,       1.066702757,                 0,                 0,                 0,        -0.2747527,       2.817312763,       1.066702757,                 0,       0.378624188,      0.2765693079,      -1.285879375,      -1.766375293,        -1.7394548,      -1.286891405,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,          49,              0.76,      -7.694556375,      -5.604144891,      -5.552217314,       -2.23423998,      0.1217785331,       2.410133142,      0.3538963398,                 0,                 0,                 0,     -0.0966863133,       2.410133142,      0.3538963398,                 0,      0.1468368422,      0.2765693079,      -1.230381351,       -1.78605218,      -1.819280587,      -1.230668744,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,          49,              0.78,      -7.737778115,      -5.659267576,      -5.528759587,      -2.277430581,      0.1217785331,       1.648227241,     -0.2868136813,                 0,                 0,                 0,     0.06317312428,       1.648227241,     -0.2868136813,                 0,     -0.1740134335,      0.2765693079,      -1.232497049,      -1.846264971,       -1.81469286,      -1.232282721,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,          49,               0.8,      -7.833052678,      -5.624986155,      -5.541468859,      -2.374604323,      0.1217785331,       1.304895607,     -0.7460025466,                 0,                 0,                 0,      0.1776808147,       1.304895607,     -0.7460025466,                 0,     -0.5716951934,      0.2765693079,      -1.280403669,       -1.82023637,      -1.850355346,      -1.282446764,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,          49,              0.82,      -7.831678215,      -5.633403799,      -5.618783646,      -2.370990528,      0.1217785331,        1.73500484,      -1.080514578,                 0,                 0,                 0,      0.2610128022,        1.73500484,      -1.080514578,                 0,     -0.6227732354,      0.2765693079,      -1.221110931,      -1.837653146,      -1.952834513,      -1.221079008,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,          49,              0.84,      -7.841696215,      -5.736444814,      -5.649397911,      -2.380286294,      0.1217785331,        2.53676748,      -1.354845652,                 0,                 0,                 0,      0.3291957006,        2.53676748,      -1.354845652,                 0,      -0.534083499,       0.291828463,      -1.190239497,      -1.955351831,      -2.008283333,       -1.18939325,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,          49,              0.86,      -7.951678795,      -5.729789146,      -5.686883887,      -2.494325725,      0.1217785331,       2.981752534,      -1.522558262,                 0,                 0,                 0,      0.3706735194,       2.981752534,      -1.522558262,                 0,     -0.5106252933,      0.2765693079,      -1.265728155,      -1.963249005,      -2.070550751,      -1.269405665,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,          49,              0.88,       -7.90075037,      -5.771833685,      -5.751901971,      -2.440268584,      0.1217785331,       2.703563952,      -1.433848649,                 0,                 0,                 0,      0.3482199836,       2.703563952,      -1.433848649,                 0,     -0.5303549961,      0.2590255437,      -1.169059527,      -2.016603824,      -2.160473759,      -1.169579166,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,          49,               0.9,      -7.839647658,      -5.798818238,      -5.745994533,       -2.37696362,      0.1217785331,       2.069095121,     -0.9910909087,                 0,                 0,                 0,      0.2376073005,       2.069095121,     -0.9910909087,                 0,     -0.4789972673,      0.2442054099,      -1.072636094,      -2.055129683,      -2.179117284,      -1.070141097,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,          49,              0.92,      -7.879217717,      -5.671833905,      -5.735724871,      -2.417851622,      0.1217785331,       1.689618736,     -0.2620915612,                 0,                 0,                 0,     0.05583432201,       1.689618736,     -0.2620915612,                 0,     -0.1551187588,      0.2442054099,      -1.086380504,      -1.940154959,      -2.193076718,      -1.084397391,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,          49,              0.94,      -7.894100038,      -5.642216905,      -5.739503753,      -2.432807231,      0.1217785331,       1.857426745,      0.5748075432,                 0,                 0,                 0,     -0.1525672481,       1.857426745,      0.5748075432,                 0,      0.3094644484,      0.2590255437,      -1.066758954,      -1.922993033,      -2.220657482,      -1.063438765,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,          49,              0.96,      -7.928187633,      -5.689582156,      -5.732018918,      -2.467888829,      0.1217785331,       2.398671644,       1.276276392,                 0,                 0,                 0,     -0.3269263953,       2.398671644,       1.276276392,                 0,      0.5320763244,      0.2740977504,      -1.074786273,      -1.984698453,      -2.236227492,       -1.07102194,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,          49,              0.98,       -8.08594059,      -5.704600132,      -5.770028512,      -2.633181095,      0.1217785331,       2.835138902,       1.683696343,                 0,                 0,                 0,     -0.4277284096,       2.835138902,       1.683696343,                 0,      0.5938673206,      0.4240672915,      -1.225158371,      -2.014089699,      -2.296644877,      -1.228770869,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,          49,                 1,      -8.103878389,      -5.734530646,      -5.871663964,      -2.649071759,      0.1217785331,       2.851219959,       1.756148151,                 0,                 0,                 0,     -0.4448282057,       2.851219959,       1.756148151,                 0,      0.6159286817,      0.4326742003,      -1.242052872,      -2.057152966,      -2.420173134,      -1.243594581,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,          49,              1.02,      -7.973089433,      -5.906490634,       -5.93006303,      -2.510781951,      0.1217785331,       2.509727164,       1.566029132,                 0,                 0,                 0,     -0.3963677562,       2.509727164,       1.566029132,                 0,      0.6239838155,      0.5283577557,       -1.11491201,      -2.241647161,      -2.499834844,       -1.10848012,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,          49,              1.04,      -8.015210926,      -5.838282216,      -5.930775194,      -2.553588432,      0.1217785331,       2.175033803,        1.17787917,                 0,                 0,                 0,      -0.298539502,       2.175033803,        1.17787917,                 0,      0.5415452248,      0.7888309705,      -1.158945176,      -2.185332532,      -2.521045515,       -1.15238297,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         53,          49,              1.06,      -8.008815255,      -5.738579328,      -5.890268962,      -2.547066059,      0.1217785331,       2.134120822,      0.6309048956,                 0,                 0,                 0,     -0.1612592117,       2.134120822,      0.6309048956,                 0,      0.2956275432,      0.9164253704,      -1.144622141,      -2.096619785,      -2.500303271,      -1.136421098,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         54,          49,              1.08,      -7.958062346,      -5.685293748,      -5.798787839,      -2.495482458,      0.1217785331,       2.278755335,    -0.07903435608,                 0,                 0,                 0,     0.01638589904,       2.278755335,    -0.07903435608,                 0,    -0.03468312497,       1.034822415,      -1.084911052,       -2.05451927,      -2.427979051,      -1.074181508,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         55,          49,               1.1,       -7.97275712,      -5.660987317,      -5.764582505,      -2.511078174,      0.1217785331,       2.489133198,     -0.9069731956,                 0,                 0,                 0,      0.2231065833,       2.489133198,     -0.9069731956,                 0,     -0.3643731064,       1.082181137,      -1.098001777,      -2.042247025,      -2.412462742,      -1.087308046,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         56,          49,              1.12,      -8.065868782,      -5.700460919,      -5.782001638,      -2.609785081,      0.1217785331,       2.637648612,      -1.593482472,                 0,                 0,                 0,      0.3941721859,       2.637648612,      -1.593482472,                 0,     -0.6041299303,       1.099723251,      -1.197983383,      -2.093538611,      -2.448244627,      -1.192961547,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         57,          49,              1.14,      -8.179939841,      -5.710957706,      -5.847733352,      -2.729393893,      0.1217785331,        2.67243903,      -1.893812011,                 0,                 0,                 0,      0.4686233326,        2.67243903,      -1.893812011,                 0,     -0.7086455442,       1.114753055,      -1.328924507,      -2.115289323,       -2.53204741,      -1.330060784,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         58,          49,              1.16,      -7.995233742,      -5.876609811,      -5.948972757,      -2.533522128,      0.1217785331,       2.618388437,      -1.739756971,                 0,                 0,                 0,      0.4295945479,       2.618388437,      -1.739756971,                 0,     -0.6644380745,       1.125719009,      -1.165781387,      -2.291838802,      -2.650903608,      -1.156331408,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         59,          49,              1.18,      -7.987074278,       -5.82255158,      -5.989338823,      -2.525141467,      0.1217785331,       2.524268297,      -1.272648671,                 0,                 0,                 0,      0.3124856286,       2.524268297,      -1.272648671,                 0,     -0.5041653744,        1.19368823,       -1.17371253,      -2.248017348,      -2.708203161,       -1.16391922,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         60,          49,               1.2,      -7.995416888,       -5.75536458,      -5.951079143,      -2.533446991,      0.1217785331,       2.400949352,     -0.6616058866,                 0,                 0,                 0,      0.1596089643,       2.400949352,     -0.6616058866,                 0,      -0.275560118,       1.248008141,      -1.186399095,      -2.190212224,      -2.686124376,      -1.175498964,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         61,          49,              1.22,      -7.983925853,      -5.689115253,      -5.834359509,      -2.522496422,      0.1217785331,       2.268514436,     0.02481751235,                 0,                 0,                 0,    -0.01182798818,       2.268514436,     0.02481751235,                 0,     0.01093998431,       1.272619401,      -1.169191423,      -2.133080307,      -2.584974045,      -1.157257846,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
