"Time_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,          49,                 0,      -6.487151134,      -3.940502099,       -4.23882715,      -1.029200941,      0.1217785331,       61.99260933,     0.01343461226,                 0,                 0,                 0,     -0.0403862622,       61.99260933,     0.01343461226,                 0,   0.0002167131277,       0.144500098,      -1.111506219,      -1.853506325,      -1.161194671,      -1.116080071,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,          49,              0.02,      -6.475330907,      -4.008019123,      -4.377352347,      -1.013361092,      0.1217785331,       55.85273065,     -0.2494567271,                 0,                 0,                 0,     0.04112641994,       55.85273065,     -0.2494567271,                 0,   -0.004466330011,       0.144500098,                 0,    -0.07740612277,      -0.186306206,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,          49,              0.04,      -6.212430901,      -4.441232391,      -4.581013875,     -0.7497027809,      0.1217785331,       8.483176563,     -0.9936515277,                 0,                 0,                 0,      0.2280916922,       8.483176563,     -0.9936515277,                 0,     -0.1171320107,      0.1445000979,   -0.001891590287,     -0.6643205899,     -0.7070201566,   -0.002542446759,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,          49,              0.06,      -6.594347967,      -4.132973654,      -4.267373959,      -1.153639293,      0.1217785331,      -24.25183341,      -1.314437891,                 0,                 0,                 0,      0.3103978725,      -24.25183341,      -1.314437891,                 0,     0.05419952663,      0.1445000979,     -0.4354029981,      -0.251906336,     -0.3351189538,     -0.4556600138,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,          49,              0.08,      -6.512501115,      -4.215535172,      -4.296466789,        -1.0555125,      0.1217785331,      -22.49714573,     -0.2825011942,                 0,                 0,                 0,     0.06701747752,      -22.49714573,     -0.2825011942,                 0,     0.01255720159,      0.1547582669,     -0.2229222957,     -0.4185860478,     -0.4063476069,     -0.2188579538,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,          49,               0.1,      -6.334077073,       -4.54928663,      -4.658095075,     -0.8711664979,      0.1217785331,       5.580845932,       1.096873996,                 0,                 0,                 0,     -0.2666241781,       5.580845932,       1.096873996,                 0,      0.1965426047,      0.1902314221,     -0.1571516724,      -0.838249207,     -0.8692094405,     -0.1498896384,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,          49,              0.12,      -6.707224901,      -4.227168077,      -4.357052798,      -1.253893361,      0.1217785331,       27.66192166,       1.397479871,                 0,                 0,                 0,     -0.3393481489,       27.66192166,       1.397479871,                 0,     0.05051998514,      0.1736237879,      -0.634134935,     -0.5487906771,     -0.5837124741,     -0.6379427817,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,          49,              0.14,        -6.5919654,      -4.340309301,      -4.499706649,       -1.13149069,      0.1217785331,       23.64980408,    -0.05471382614,                 0,                 0,                 0,     0.01050942587,       23.64980408,    -0.05471382614,                 0,   -0.002313500186,      0.1469716555,     -0.5241606439,     -0.7274420322,     -0.7809735335,     -0.5186810389,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,          49,              0.16,      -6.465568002,      -4.571117142,      -4.728820348,      -1.002264362,      0.1217785331,       2.173261878,       -1.60424528,                 0,                 0,                 0,      0.3867792151,       2.173261878,       -1.60424528,                 0,     -0.7381739384,      0.1587571425,     -0.4647260755,      -1.010079495,      -1.069596195,     -0.4567485395,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,          49,              0.18,      -6.816474302,      -4.379145157,       -4.41589309,      -1.371298226,      0.1217785331,      -13.39282694,      -1.682391669,                 0,                 0,                 0,      0.4045650431,      -13.39282694,      -1.682391669,                 0,      0.1256188613,      0.1675781652,     -0.8727584801,     -0.8537981559,     -0.7958421581,     -0.8833468736,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
