"Density","Enthalpy","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-11.163,321.67,0,4.4389e-07,4.5999e-06,9.1997e-06,0.00062073,0,0,1,0.00019832,0,0,0,0,1,0,0.5,0,0
1,-11.163,321.67,0,4.4389e-07,4.6015e-06,9.2031e-06,0,0,0,1,0.00019832,0.003496,9.2077e-09,0,0,1,5e-06,0.5,5e-06,0
1,-11.163,321.67,0,4.4389e-07,4.6031e-06,9.2063e-06,0,0,0,1,0.00019832,0.006992,3.7936e-08,0,0,1,1e-05,0.5,1e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6047e-06,9.2094e-06,0,0,0,1,0.00019832,0.010488,8.5943e-08,0,0,1,1.5e-05,0.5,1.5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6062e-06,9.2123e-06,0,0,0,1,0.00019832,0.013984,1.5231e-07,0,0,1,2e-05,0.5,2e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6076e-06,9.2151e-06,0,0,0,1,0.00019832,0.01748,2.3963e-07,0,0,1,2.5e-05,0.5,2.5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6089e-06,9.2178e-06,0,0,0,1,0.00019832,0.020976,3.454e-07,0,0,1,3e-05,0.5,3e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6102e-06,9.2204e-06,0,0,0,1,0.00019832,0.024472,4.6854e-07,0,0,1,3.5e-05,0.5,3.5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6114e-06,9.2229e-06,0,0,0,1,0.00019832,0.027968,6.147e-07,0,0,1,4e-05,0.5,4e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6126e-06,9.2252e-06,0,0,0,1,0.00019832,0.031465,7.8059e-07,0,0,1,4.5e-05,0.5,4.5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6137e-06,9.2274e-06,0,0,0,1,0.00019832,0.034961,9.5655e-07,0,0,1,5e-05,0.5,5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6147e-06,9.2295e-06,0,0,0,1,0.00019832,0.038457,1.1672e-06,0,0,1,5.5e-05,0.5,5.5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6158e-06,9.2315e-06,0,0,0,1,0.00019832,0.041953,1.3789e-06,0,0,1,6e-05,0.5,6e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6166e-06,9.2333e-06,0,0,0,1,0.00019832,0.045449,1.6308e-06,0,0,1,6.5e-05,0.5,6.5e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6175e-06,9.235e-06,0,0,0,1,0.00019832,0.048946,1.8854e-06,0,0,1,7e-05,0.5,7e-05,0
1,-11.163,321.67,0,4.4389e-07,4.6183e-06,9.2366e-06,0,0,0,1,0.00019832,0.052442,2.1656e-06,0,0,1,7.5e-05,0.5,7.5e-05,0
