"Density","Enthalpy","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-11.163,321.67,0,4.4389e-07,-0.00030683,-0.00061365,0.0013806,0,0,1,0.00019832,0,0,0,0,1,0,0.1,0,0
1,-11.163,321.67,0,4.4389e-07,-0.00030681,-0.00061362,0,0,0,1,0.00019832,0.0077759,9.5859e-08,0,0,1,5e-06,0.1,5e-06,0
1,-11.163,321.67,0,4.4389e-07,-0.00030679,-0.00061358,0,0,0,1,0.00019832,0.015552,3.8623e-07,0,0,1,1e-05,0.1,1e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030678,-0.00061355,0,0,0,1,0.00019832,0.023328,8.6872e-07,0,0,1,1.5e-05,0.1,1.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030676,-0.00061352,0,0,0,1,0.00019832,0.031105,1.5342e-06,0,0,1,2e-05,0.1,2e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030675,-0.0006135,0,0,0,1,0.00019832,0.038882,2.4085e-06,0,0,1,2.5e-05,0.1,2.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030673,-0.00061347,0,0,0,1,0.00019832,0.046659,3.4667e-06,0,0,1,3e-05,0.1,3e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030672,-0.00061344,0,0,0,1,0.00019832,0.054436,4.6981e-06,0,0,1,3.5e-05,0.1,3.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030671,-0.00061342,0,0,0,1,0.00019832,0.062212,6.159e-06,0,0,1,4e-05,0.1,4e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.0003067,-0.0006134,0,0,0,1,0.00019832,0.069989,7.8166e-06,0,0,1,4.5e-05,0.1,4.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030669,-0.00061337,0,0,0,1,0.00019832,0.077765,9.5745e-06,0,0,1,5e-05,0.1,5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030668,-0.00061335,0,0,0,1,0.00019832,0.085541,1.1678e-05,0,0,1,5.5e-05,0.1,5.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030667,-0.00061333,0,0,0,1,0.00019832,0.093316,1.3792e-05,0,0,1,6e-05,0.1,6e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030666,-0.00061331,0,0,0,1,0.00019832,0.10109,1.6307e-05,0,0,1,6.5e-05,0.1,6.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030665,-0.0006133,0,0,0,1,0.00019832,0.10886,1.8849e-05,0,0,1,7e-05,0.1,7e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030664,-0.00061328,0,0,0,1,0.00019832,0.11663,2.1647e-05,0,0,1,7.5e-05,0.1,7.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030663,-0.00061326,0,0,0,1,0.00019832,0.1244,2.47e-05,0,0,1,8e-05,0.1,8e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030662,-0.00061325,0,0,0,1,0.00019832,0.13217,2.7754e-05,0,0,1,8.5e-05,0.1,8.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030662,-0.00061323,0,0,0,1,0.00019832,0.13994,3.1159e-05,0,0,1,9e-05,0.1,9e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.00030661,-0.00061322,0,0,0,1,0.00019832,0.1477,3.4826e-05,0,0,1,9.5e-05,0.1,9.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-0.0003066,-0.00061321,0,0,0,1,0.00019832,0.15546,3.8492e-05,0,0,1,0.0001,0.1,0.0001,0
1,-11.163,321.67,0,4.4389e-07,-0.0003066,-0.00061319,0,0,0,1,0.00019832,0.16323,4.2205e-05,0,0,1,0.000105,0.1,0.000105,0
1,-11.163,321.67,0,4.4389e-07,-0.00030659,-0.00061318,0,0,0,1,0.00019832,0.17098,4.6603e-05,0,0,1,0.00011,0.1,0.00011,0
1,-11.163,321.67,0,4.4389e-07,-0.00030659,-0.00061317,0,0,0,1,0.00019832,0.17873,5.1001e-05,0,0,1,0.000115,0.1,0.000115,0
1,-11.163,321.67,0,4.4389e-07,-0.00030658,-0.00061316,0,0,0,1,0.00019832,0.18648,5.5398e-05,0,0,1,0.00012,0.1,0.00012,0
1,-11.163,321.67,0,4.4389e-07,-0.00030657,-0.00061315,0,0,0,1,0.00019832,0.19423,5.9796e-05,0,0,1,0.000125,0.1,0.000125,0
1,-11.163,321.67,0,4.4389e-07,-0.00030657,-0.00061314,0,0,0,1,0.00019832,0.20196,6.4934e-05,0,0,1,0.00013,0.1,0.00013,0
1,-11.163,321.67,0,4.4389e-07,-0.00030656,-0.00061313,0,0,0,1,0.00019832,0.20969,7.0201e-05,0,0,1,0.000135,0.1,0.000135,0
1,-11.163,321.67,0,4.4389e-07,-0.00030656,-0.00061311,0,0,0,1,0.00019832,0.21741,7.5468e-05,0,0,1,0.00014,0.1,0.00014,0
1,-11.163,321.67,0,4.4389e-07,-0.00030655,-0.0006131,0,0,0,1,0.00019832,0.22514,8.0735e-05,0,0,1,0.000145,0.1,0.000145,0
1,-11.163,321.67,0,4.4389e-07,-0.00030655,-0.00061309,0,0,0,1,0.00019832,0.23287,8.6003e-05,0,0,1,0.00015,0.1,0.00015,0
1,-11.163,321.67,0,4.4389e-07,-0.00030654,-0.00061307,0,0,0,1,0.00019832,0.24057,9.2086e-05,0,0,1,0.000155,0.1,0.000155,0
1,-11.163,321.67,0,4.4389e-07,-0.00030653,-0.00061306,0,0,0,1,0.00019832,0.24825,9.8379e-05,0,0,1,0.00016,0.1,0.00016,0
1,-11.163,321.67,0,4.4389e-07,-0.00030652,-0.00061304,0,0,0,1,0.00019832,0.25594,0.00010467,0,0,1,0.000165,0.1,0.000165,0
