"Density","Enthalpy","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-11.163,321.67,0,4.4389e-07,-4.6686e-05,-9.3371e-05,0,0,0,1,0.00019832,0.90235,0.00080229,0,0,1,0.001255,0.3,0.001255,0
1,-11.163,321.67,0,4.4389e-07,-4.6749e-05,-9.3499e-05,0,0,0,1,0.00019832,0.90401,0.00080567,0,0,1,0.00126,0.3,0.00126,0
1,-11.163,321.67,0,4.4389e-07,-4.6813e-05,-9.3627e-05,0,0,0,1,0.00019832,0.90567,0.00080905,0,0,1,0.001265,0.3,0.001265,0
1,-11.163,321.67,0,4.4389e-07,-4.6877e-05,-9.3755e-05,0,0,0,1,0.00019832,0.90733,0.00081243,0,0,1,0.00127,0.3,0.00127,0
1,-11.163,321.67,0,4.4389e-07,-4.6941e-05,-9.3882e-05,0,0,0,1,0.00019832,0.90899,0.00081581,0,0,1,0.001275,0.3,0.001275,0
1,-11.163,321.67,0,4.4389e-07,-4.7005e-05,-9.401e-05,0,0,0,1,0.00019832,0.91064,0.00081919,0,0,1,0.00128,0.3,0.00128,0
1,-11.163,321.67,0,4.4389e-07,-4.7069e-05,-9.4138e-05,0,0,0,1,0.00019832,0.9123,0.00082257,0,0,1,0.001285,0.3,0.001285,0
1,-11.163,321.67,0,4.4389e-07,-4.7133e-05,-9.4266e-05,0,0,0,1,0.00019832,0.91396,0.00082595,0,0,1,0.00129,0.3,0.00129,0
1,-11.163,321.67,0,4.4389e-07,-4.7197e-05,-9.4394e-05,0,0,0,1,0.00019832,0.91562,0.00082933,0,0,1,0.001295,0.3,0.001295,0
1,-11.163,321.67,0,4.4389e-07,-4.7261e-05,-9.4522e-05,0,0,0,1,0.00019832,0.91728,0.00083271,0,0,1,0.0013,0.3,0.0013,0
1,-11.163,321.67,0,4.4389e-07,-4.7325e-05,-9.4649e-05,0,0,0,1,0.00019832,0.91893,0.00083609,0,0,1,0.001305,0.3,0.001305,0
1,-11.163,321.67,0,4.4389e-07,-4.7389e-05,-9.4777e-05,0,0,0,1,0.00019832,0.92059,0.00083947,0,0,1,0.00131,0.3,0.00131,0
1,-11.163,321.67,0,4.4389e-07,-4.7453e-05,-9.4905e-05,0,0,0,1,0.00019832,0.92225,0.00084285,0,0,1,0.001315,0.3,0.001315,0
1,-11.163,321.67,0,4.4389e-07,-4.7516e-05,-9.5033e-05,0,0,0,1,0.00019832,0.92391,0.00084623,0,0,1,0.00132,0.3,0.00132,0
1,-11.163,321.67,0,4.4389e-07,-4.758e-05,-9.5161e-05,0,0,0,1,0.00019832,0.92557,0.00084961,0,0,1,0.001325,0.3,0.001325,0
1,-11.163,321.67,0,4.4389e-07,-4.7644e-05,-9.5288e-05,0,0,0,1,0.00019832,0.92722,0.00085298,0,0,1,0.00133,0.3,0.00133,0
1,-11.163,321.67,0,4.4389e-07,-4.7708e-05,-9.5416e-05,0,0,0,1,0.00019832,0.92888,0.00085636,0,0,1,0.001335,0.3,0.001335,0
1,-11.163,321.67,0,4.4389e-07,-4.7772e-05,-9.5544e-05,0,0,0,1,0.00019832,0.93054,0.00085974,0,0,1,0.00134,0.3,0.00134,0
1,-11.163,321.67,0,4.4389e-07,-4.7836e-05,-9.5672e-05,0,0,0,1,0.00019832,0.9322,0.00086312,0,0,1,0.001345,0.3,0.001345,0
1,-11.163,321.67,0,4.4389e-07,-4.79e-05,-9.58e-05,0,0,0,1,0.00019832,0.93386,0.0008665,0,0,1,0.00135,0.3,0.00135,0
