"Density","Enthalpy","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-11.163,321.67,0,4.4389e-07,-9.7243e-05,-0.00019449,0.0009805,0,0,1,0.00019832,0,0,0,0,1,0,0.2,0,0
1,-11.163,321.67,0,4.4389e-07,-9.7237e-05,-0.00019447,0,0,0,1,0.00019832,0.0055222,3.4255e-08,0,0,1,5e-06,0.2,5e-06,0
1,-11.163,321.67,0,4.4389e-07,-9.7231e-05,-0.00019446,0,0,0,1,0.00019832,0.011044,1.3801e-07,0,0,1,1e-05,0.2,1e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7226e-05,-0.00019445,0,0,0,1,0.00019832,0.016567,3.104e-07,0,0,1,1.5e-05,0.2,1.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7221e-05,-0.00019444,0,0,0,1,0.00019832,0.022089,5.4815e-07,0,0,1,2e-05,0.2,2e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7215e-05,-0.00019443,0,0,0,1,0.00019832,0.027611,8.605e-07,0,0,1,2.5e-05,0.2,2.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7211e-05,-0.00019442,0,0,0,1,0.00019832,0.033134,1.2386e-06,0,0,1,3e-05,0.2,3e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7206e-05,-0.00019441,0,0,0,1,0.00019832,0.038656,1.6784e-06,0,0,1,3.5e-05,0.2,3.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7202e-05,-0.0001944,0,0,0,1,0.00019832,0.044178,2.2003e-06,0,0,1,4e-05,0.2,4e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7198e-05,-0.0001944,0,0,0,1,0.00019832,0.0497,2.7924e-06,0,0,1,4.5e-05,0.2,4.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7193e-05,-0.00019439,0,0,0,1,0.00019832,0.055222,3.4203e-06,0,0,1,5e-05,0.2,5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.719e-05,-0.00019438,0,0,0,1,0.00019832,0.060744,4.1716e-06,0,0,1,5.5e-05,0.2,5.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7186e-05,-0.00019437,0,0,0,1,0.00019832,0.066266,4.9269e-06,0,0,1,6e-05,0.2,6e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7183e-05,-0.00019437,0,0,0,1,0.00019832,0.071787,5.8253e-06,0,0,1,6.5e-05,0.2,6.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.718e-05,-0.00019436,0,0,0,1,0.00019832,0.077308,6.7333e-06,0,0,1,7e-05,0.2,7e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7177e-05,-0.00019435,0,0,0,1,0.00019832,0.082829,7.7328e-06,0,0,1,7.5e-05,0.2,7.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7174e-05,-0.00019435,0,0,0,1,0.00019832,0.088349,8.8239e-06,0,0,1,8e-05,0.2,8e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7172e-05,-0.00019434,0,0,0,1,0.00019832,0.093869,9.915e-06,0,0,1,8.5e-05,0.2,8.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7169e-05,-0.00019434,0,0,0,1,0.00019832,0.099388,1.1132e-05,0,0,1,9e-05,0.2,9e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7167e-05,-0.00019433,0,0,0,1,0.00019832,0.10491,1.2443e-05,0,0,1,9.5e-05,0.2,9.5e-05,0
1,-11.163,321.67,0,4.4389e-07,-9.7165e-05,-0.00019433,0,0,0,1,0.00019832,0.11043,1.3753e-05,0,0,1,0.0001,0.2,0.0001,0
1,-11.163,321.67,0,4.4389e-07,-9.7163e-05,-0.00019433,0,0,0,1,0.00019832,0.11594,1.5081e-05,0,0,1,0.000105,0.2,0.000105,0
1,-11.163,321.67,0,4.4389e-07,-9.7162e-05,-0.00019432,0,0,0,1,0.00019832,0.12146,1.6654e-05,0,0,1,0.00011,0.2,0.00011,0
1,-11.163,321.67,0,4.4389e-07,-9.7161e-05,-0.00019432,0,0,0,1,0.00019832,0.12697,1.8228e-05,0,0,1,0.000115,0.2,0.000115,0
1,-11.163,321.67,0,4.4389e-07,-9.7159e-05,-0.00019432,0,0,0,1,0.00019832,0.13249,1.9802e-05,0,0,1,0.00012,0.2,0.00012,0
1,-11.163,321.67,0,4.4389e-07,-9.7158e-05,-0.00019432,0,0,0,1,0.00019832,0.138,2.1375e-05,0,0,1,0.000125,0.2,0.000125,0
1,-11.163,321.67,0,4.4389e-07,-9.7157e-05,-0.00019431,0,0,0,1,0.00019832,0.14351,2.3216e-05,0,0,1,0.00013,0.2,0.00013,0
1,-11.163,321.67,0,4.4389e-07,-9.7156e-05,-0.00019431,0,0,0,1,0.00019832,0.14902,2.5104e-05,0,0,1,0.000135,0.2,0.000135,0
1,-11.163,321.67,0,4.4389e-07,-9.7156e-05,-0.00019431,0,0,0,1,0.00019832,0.15453,2.6993e-05,0,0,1,0.00014,0.2,0.00014,0
1,-11.163,321.67,0,4.4389e-07,-9.7155e-05,-0.00019431,0,0,0,1,0.00019832,0.16004,2.8881e-05,0,0,1,0.000145,0.2,0.000145,0
1,-11.163,321.67,0,4.4389e-07,-9.7154e-05,-0.00019431,0,0,0,1,0.00019832,0.16555,3.0769e-05,0,0,1,0.00015,0.2,0.00015,0
1,-11.163,321.67,0,4.4389e-07,-9.7154e-05,-0.00019431,0,0,0,1,0.00019832,0.17105,3.2955e-05,0,0,1,0.000155,0.2,0.000155,0
1,-11.163,321.67,0,4.4389e-07,-9.7153e-05,-0.00019431,0,0,0,1,0.00019832,0.17655,3.5218e-05,0,0,1,0.00016,0.2,0.00016,0
1,-11.163,321.67,0,4.4389e-07,-9.7153e-05,-0.00019431,0,0,0,1,0.00019832,0.18205,3.7481e-05,0,0,1,0.000165,0.2,0.000165,0
1,-11.163,321.67,0,4.4389e-07,-9.7153e-05,-0.00019431,0,0,0,1,0.00019832,0.18755,3.9744e-05,0,0,1,0.00017,0.2,0.00017,0
