"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,       -2.05796552,      0.7028991852,     -0.6950408234,       3.601797802,          204929.9,    0.006587220745,     0.06062827379,                 0,                 0,                 0,   -0.000529652455,    0.005528108204,     0.06073400266,                 0,       9.203923192
          0,           0,           1,      -2.214154812,      0.6743081486,      0.2792952632,        3.44025217,          204929.9,    0.008279629033,     0.07528943772,                 0,                 0,                 0,   -0.001194037649,    0.006964386137,     0.07542247023,                 0,       9.093334669
          0,           0,           2,      -2.301264535,      0.4987076255,      0.2660004492,       3.372505321,          204929.9,    0.006912958632,     0.06259199964,                 0,                 0,                 0,   -0.001223290874,    0.005819524737,     0.06270311434,                 0,       9.054299754
          0,           0,           3,      -2.217233711,      0.5524173521,       0.189510169,       3.459674652,          204929.9,     0.00595524624,     0.05427522908,                 0,                 0,                 0,   -0.001076333184,    0.005007105869,     0.05437089608,                 0,       9.113851366
          0,           0,           4,      -2.255741915,      0.5155217579,      0.1284449871,       3.418130306,          204929.9,    0.004956593621,      0.0456476917,                 0,                 0,                 0,  -0.0009405534832,     0.00415917664,     0.04572724382,                 0,       9.209488449
          0,           0,           5,      -2.313481328,      0.4524299388,      0.1237695177,         3.3534086,          204929.9,    0.004397558217,     0.04084369542,                 0,                 0,                 0,  -0.0008675460924,    0.003684067675,      0.0409142227,                 0,       9.287812326
          0,           0,           6,      -2.326761092,       0.416048949,      0.1442950891,       3.330217995,          204929.9,    0.004438088758,     0.04051743788,                 0,                 0,                 0,  -0.0009640567376,    0.003730286022,     0.04058872221,                 0,       9.129478947
          0,           0,           7,      -2.269724972,      0.4507855992,      0.1892176223,       3.398355227,          204929.9,     0.00473981556,     0.04172945037,                 0,                 0,                 0,    -0.00117514456,    0.004010814335,     0.04180581596,                 0,       8.804024089
          0,           0,           8,      -2.205599722,      0.4964907316,      0.2534465502,       3.477692326,          204929.9,    0.004994259875,     0.04267337494,                 0,                 0,                 0,   -0.001397151367,    0.004248746141,     0.04275403743,                 0,        8.54448427
          0,           0,           9,      -2.147624595,      0.5302407225,       0.307138335,        3.53666494,          204929.9,    0.005157214887,     0.04342977397,                 0,                 0,                 0,   -0.001568596699,    0.004398475352,     0.04351316522,                 0,       8.421168193
          0,           0,          10,      -2.096038814,      0.5664285923,      0.3495719387,       3.587271949,          204929.9,    0.005256437276,     0.04426207072,                 0,                 0,                 0,   -0.001654825552,    0.004483157047,     0.04434706687,                 0,        8.42054578
          0,           0,          11,      -2.058573678,      0.6005690048,      0.3856043424,       3.629535236,          204929.9,    0.005320034024,      0.0451665992,                 0,                 0,                 0,   -0.001664565356,     0.00453095791,      0.0452525675,                 0,       8.489907959
          0,           0,          12,      -2.034046219,      0.6228486272,      0.4138557651,       3.660036021,          204929.9,    0.005364162345,     0.04601683309,                 0,                 0,                 0,   -0.001630794536,    0.004560240883,     0.04610344205,                 0,       8.578568308
          0,           0,          13,      -2.017313768,      0.6305016576,      0.4320656193,       3.678834171,          204929.9,     0.00539740992,     0.04673189984,                 0,                 0,                 0,   -0.001586188998,    0.004581003759,     0.04681898013,                 0,       8.658208386
          0,           0,          14,      -2.005036289,      0.6284682723,       0.442014441,       3.689636245,          204929.9,    0.005424136311,     0.04730591399,                 0,                 0,                 0,   -0.001549237347,    0.004597708151,      0.0473933733,                 0,       8.721372634
